stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,17,1,0,0,0,0,13,0
 24-34,0,0,0,0,0,0,2.46,1.64,0,0.82,0,0,0,0.82,0,146.11,1.64,0,0,0,0,54.18,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81,0,121.66,0.81,0,0,0,0,46.73,0
 48-58,0.57,0,0,0,0,0,2.87,0,0,0,0.57,0,0.57,2.3,0,67.71,0,0,0,0,0,22.38,0
 60-70,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0.98,1.96,0.98,48.09,1.96,0,0,0,0,13.74,0
 72-82,0,0,0,3.93,0,0,5.89,0,0,0.98,0,0.98,0,4.91,0,42.21,0.98,1.96,0,0,0,6.87,0
 84-94,0,0,0,3.19,0,0,9.56,0,0,1.06,1.06,0,0,2.12,0,19.12,1.06,0,0,0,0,5.31,0
 96-106,0,0,0,3.28,0,2.19,7.65,0,1.09,1.09,0,0,0,3.28,0,13.11,0,1.09,0,1.09,0,2.19,0
108-118,0,0,0.77,0.77,0,6.89,10.72,0,0.77,3.06,1.53,0.77,0,0.77,0,26.04,0,1.53,0,0,0.77,1.53,0.77
120,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,25.48,0,1.96,0,0,1.96,0,0
