stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,27,0,0,0,0,0,0,1,0,0,6,10,0,0,0,0,0
 24-34,0,0,0,1.64,0,7.39,0,0,0.82,0.82,0,0,0.82,0,0,0,0,4.93,0,0,5.75,73.88,0,0.82,0.82,0,0,1.64,0,0,0.82,0.82,18.88,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,22.56,0,0,0.81,0.81,0,0,0.81,0,0,0,0,13.7,0,0,5.64,107.96,0.81,3.22,0,0,0,0,0,0,0,0,20.95,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,18.36,0.57,0,0,5.74,0.57,0,0,0,0,0,0.57,7.46,0,0,0,60.82,0.57,1.15,0.57,0,0,0,0,0,0,0,16.64,0,0.57,0,0,1.15
 60-70,0,0,0,0,1.96,27.48,0,0,0,4.91,0,0,0,0,0,0,0,16.69,0,0,0.98,62.82,0,0.98,2.94,0,0,0.98,0,0,0,0,13.74,0,0.98,0.98,0,0
 72-82,0,0,0,2.94,5.89,38.28,0,0,1.96,8.83,0.98,0,0.98,0,0,0,0,16.69,0.98,0,0.98,68.72,0,2.94,1.96,0,0,0.98,0,0,0,0,4.91,0,0,1.96,0,0.98
 84-94,0,0,0,1.06,11.68,26.55,0,0,0,7.43,0,0,2.12,2.12,0,0,1.06,13.81,0,0,1.06,74.34,1.06,1.06,2.12,0,0,5.31,0,1.06,0,0,9.56,0,0,1.06,0,1.06
 96-106,0,0,1.09,3.28,4.37,30.6,0,0,0,15.3,1.09,0,2.19,0,0,1.09,1.09,15.3,0,1.09,2.19,67.76,1.09,3.28,2.19,0,1.09,13.11,0,0,0,0,7.65,0,0,4.37,0,1.09
108-118,0,0,0,4.6,3.83,33.7,0,1.53,0,13.79,0,0.77,0,0,2.3,0,0,10.72,0,0,2.3,77.36,0.77,0,3.06,0,0,8.43,0,0,2.3,0,2.3,0.77,0,1.53,0.77,3.06
120,0,0,0,3.92,7.84,21.56,0,1.96,0,7.84,0,0,1.96,0,0,0,0,9.8,0,1.96,1.96,76.43,0,3.92,3.92,0,0,3.92,0,1.96,1.96,0,0,0,0,1.96,1.96,0
