stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,6,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,52.53,0,0,0,0,0,15.6,0,0.82
 36-46,0,0,0,11.28,0.81,0,1.61,0,0,0,0,0,0,0,44.31,0,0,0,0,0,7.25,0,0
 48-58,0,0,0,63.69,0,0,5.74,0,0,0,0.57,1.15,0,1.15,20.08,0,0,0,0,0,8.03,0,0
 60-70,0,0,0,127.6,0,0,5.89,0,0.98,0,0,2.94,0.98,0,8.83,0,0,0,0,0,2.94,0,0
 72-82,0,0,0.98,75.59,0,0,11.78,0,0.98,0,0,1.96,0,0.98,18.65,0,0,0,0.98,0,3.93,0.98,0
 84-94,0,1.06,1.06,49.92,0,1.06,8.5,0,0,1.06,0,3.19,0,0,5.31,0,0,0,0,0,2.12,0,0
 96-106,0,0,2.19,46.99,0,0,6.56,0,0,0,0,2.19,0,0,9.84,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,52.09,0,0,4.6,0,0,0,0.77,2.3,0.77,0,4.6,0.77,0,1.53,0,0,0.77,0,0
120,0,0,0,33.32,0,0,11.76,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0
