stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,21.03,2.63,18.4,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,1,0,5,0,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,3.28,0,0,0,14.78,0,0,0.82,0,0,0,6.57,0,0
 36-46,0,0,0,0,0,0.81,0,0,2.42,0,0,1.61,12.89,0,0,0.81,0,0,0,4.83,0,0.81
 48-58,0,0,0,0,1.15,2.3,0,0.57,4.02,0.57,0,3.44,17.79,0,0,0.57,0,0,0,3.44,0,0
 60-70,0,0,0,0,0,6.87,0,0,2.94,0,0,1.96,12.76,0,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,2.94,0,0.98,13.74,0,0,9.82,0,0,1.96,14.72,0,0,2.94,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,10.62,0,0,8.5,0,1.06,0,13.81,0,0,5.31,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,0,8.74,0,1.09,6.56,0,1.09,3.28,3.28,0,0,2.19,0,0,0,2.19,1.09,0
108-118,0,0,0,0,2.3,7.66,0.77,0,5.36,0,0.77,1.53,13.02,0,0,1.53,0,0,0,2.3,0,0
120,0,0,0,0,0,5.88,0,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0
