stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,7.89,0,7.89,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,18.88,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,7,1,0,0,1,0,0,2,0,0,0,1,0,2,6,0,0,0
 24-34,0,4.1,0.82,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,2.42,0,1.61,0,0,4.03,0,0,0,0,0,0.81
 48-58,0,0,16.64,0,0,0,0,1.15,0.57,1.15,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,60.85,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,39.27,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,38.23,0,2.12,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,11.49,0,0,0,0.77,0.77,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
