stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,38,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,2,12,160,0,0,0,0,0,1,1,2,29,0,0,12,0,0
 24-34,0,0,0,1.64,486.77,0.82,0,4.93,0,13.13,0,5.75,0.82,10.67,0,0.82,0,0.82,0.82,0,22.98,8.21,1.64,9.03,82.91,166.63,4.93,0.82,0,3.28,3.28,0,0.82,0,73.88,0,0,109.99,0,1.64
 36-46,0,0,0.81,0,650.18,0.81,0,16.92,0.81,45.12,0,17.72,0,24.17,0,0.81,0,0.81,0,0.81,48.34,9.67,12.09,3.22,156.3,142.6,1.61,0.81,0,4.03,1.61,0,0.81,0,87.01,0,0.81,115.21,0,2.42
 48-58,0,0,0,0,596.18,0.57,0,41.89,0.57,99.84,0,50.49,0,23.53,0.57,0.57,0.57,0,0,7.46,71.15,4.59,22.95,4.02,184.77,40.74,1.15,5.74,0,8.61,2.3,0,0,0,105.01,0,4.02,97.55,0,9.18
 60-70,0,0,0,0,584.01,0,0,65.76,0,65.76,0.98,133.49,0,16.69,1.96,0,0.98,0.98,0,1.96,199.25,5.89,39.26,6.87,185.51,39.26,1.96,8.83,0,8.83,1.96,0.98,0,0,108.95,0.98,35.33,93.24,15.7,24.54
 72-82,0,0,0,0,652.81,3.93,0,117.8,0,73.62,0.98,270.94,0.98,29.45,1.96,2.94,0,0,0,11.78,419.17,9.82,80.5,15.71,162.96,24.54,2.94,19.63,0,19.63,2.94,1.96,0,0,78.53,0,60.86,231.67,50.06,22.58
 84-94,0,0,0,0,1251.08,4.25,1.06,97.71,1.06,149.75,1.06,199.66,4.25,26.55,2.12,4.25,1.06,1.06,0,10.62,361.09,15.93,88.15,6.37,79.65,31.86,2.12,23.36,0,9.56,3.19,0,0,0,74.34,4.25,67.97,221.97,54.16,28.68
 96-106,0,0,1.09,0,1053.5,8.74,0,69.94,3.28,99.45,0,161.74,8.74,40.44,4.37,3.28,3.28,0,2.19,15.3,354.08,14.21,69.94,9.84,106.01,36.06,6.56,39.34,0,17.49,8.74,2.19,0,0,71.04,4.37,68.85,274.3,77.59,29.51
108-118,0.77,0,0,0,870.9,1.53,0,47.49,0.77,119.49,2.3,142.47,11.49,22.98,0.77,3.06,6.13,0,2.3,23.74,264.26,10.72,72.77,6.89,108.77,36.77,3.83,43.66,0,12.26,2.3,0.77,0,0,39.83,3.06,39.83,209.11,52.85,43.66
120,0,0,0,0,578.14,1.96,0,43.12,0,96.03,0,84.27,3.92,29.4,3.92,5.88,3.92,0,0,7.84,231.25,13.72,86.23,3.92,88.19,31.36,3.92,37.24,0,19.6,7.84,0,0,0,35.28,5.88,43.12,217.54,41.16,21.56
