stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,3.44,0,0,0,1.72,0,2.87,0,1.15,0,0
 60-70,0,0,0,17.67,0,0.98,0,2.94,0,1.96,0,0.98,0,0
 72-82,0,3.93,0,40.25,0.98,0.98,0.98,3.93,1.96,2.94,0,0,4.91,0
 84-94,2.12,0,0,20.18,0,1.06,0,3.19,0,2.12,0,1.06,2.12,0
 96-106,1.09,2.19,0,27.32,0,0,3.28,6.56,2.19,3.28,0,0,2.19,0
108-118,2.3,0.77,1.53,15.32,0,0.77,2.3,3.06,0.77,5.36,1.53,0,0.77,0.77
120,0,0,0,25.48,0,0,1.96,0,1.96,1.96,0,0,1.96,0
