stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,73.6,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,173.08,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,7,0,4,233,0,1,0,0,5,2,15,0,0,0
 24-34,0,0,0,3.28,0,5.75,0,21.34,0,0,0,44.33,0,8.21,816.75,0,0,0,0,0,1.64,110.82,0.82,0,0
 36-46,0,0,0,3.22,0,5.64,0,37.06,0,0.81,0,33.84,0.81,2.42,602.64,0,0,0,0,0,0,74.12,0,0,0.81
 48-58,0,0,0,3.44,0,12.62,0,56.23,0,0,0.57,36.72,0,0.57,416.58,0,0,0,0.57,0,0,22.38,1.15,0,0
 60-70,0,0,0,0.98,0,11.78,0,52.02,0,0,0,24.54,0.98,0,267.96,0,0,0,0,0,0,8.83,0,0,0.98
 72-82,0,0,0,1.96,0,27.49,0,88.35,0,0,0,13.74,0,1.96,291.55,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,6.37,0,35.05,0,45.67,1.06,0,0,24.43,0,1.06,157.18,0,0,2.12,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,2.19,0,20.76,1.09,56.83,0,0,0,19.67,0,2.19,135.51,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,5.36,0,16.09,0,52.85,0,0,0,16.85,0.77,0.77,177.7,0.77,0,0,0,0,0,1.53,0,0.77,0
120,0,0,0,5.88,0,13.72,0,45.08,0,0,0,21.56,0,0,160.7,0,0,1.96,0,0,0,0,0,0,0
