stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,3.28,0,0,0,0,4.93,0.82,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,2.42,0,0,0.81,0,0,0,0,4.03,0,0,0,7.25,0,0.81,0,0,0.81,0,3.22,0,0.81
 48-58,0,0,0.57,0,4.02,0,0.57,1.15,0,0,0,0,0.57,0,0,2.3,0,0,0,9.18,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0.98,0.98,3.93,0,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98,3.93,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,2.94,0,0.98,1.96,0,0,0,0.98,0,0,0,8.83,0,0,0,17.67,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,3.19,1.06,0,0,2.12,0,0,0,5.31,1.06,0,1.06,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,5.46,0,0,0,3.28,0,0,1.09,0,1.09,0,0,3.28,1.09
108-118,0,0,0,0,1.53,0,0,0,0.77,0,0,3.06,0.77,0.77,0.77,3.83,0,0,1.53,3.06,0,0,0,0,3.83,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,3.92,1.96,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,0
