stage,blastomeres,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pronephros,somites,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,5.75,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,2.42,0,0,0,0,0.81
 48-58,0,2.87,0,0,0,0.57,0,4.02,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,4.91,0.98,0,0,0,0.98
 72-82,0,1.96,0.98,1.96,0,0,0,2.94,0,0,0,0,0
 84-94,0,2.12,0,1.06,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,1.09,0,0,1.09,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0.77,0,0,0,0
