stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,4,6,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0.82,27.09,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0.82,119.02,0,1.64,34.48,17.24,13.13,0,0,0,1.64,0,0,1.64,0,0.82,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,27.39,0.81,4.03,0,1.61,3.22,0.81,0,6.45,1.61,0,0,0,0,0,316.63,0,8.86,79.76,12.89,14.5,0.81,0,0,2.42,0.81,0,0.81,0,0,10.47,0,0.81,0.81,0.81,0
 48-58,0.57,0,0,0.57,60.25,0,9.75,0,1.15,12.05,2.3,0,5.16,0,0,0.57,1.15,0,0.57,686.27,0,29.84,103.86,27.54,32.13,0,1.72,0,3.44,1.15,0,0,0,0,6.31,0,4.59,0.57,1.15,0
 60-70,0,0,0,0.98,85.39,0.98,15.7,1.96,1.96,24.54,3.93,0,2.94,0,0,0,0,0.98,0,1245.55,1.96,48.09,114.84,32.39,29.45,0.98,7.85,0,12.76,4.91,0,0.98,0,0,2.94,0,24.54,0,12.76,0.98
 72-82,0,0,0,1.96,129.58,0.98,75.59,0.98,6.87,61.84,13.74,0,2.94,0.98,1.96,0.98,1.96,0,0,2144.93,1.96,66.75,158.05,77.55,16.69,1.96,8.83,0,17.67,0.98,0,1.96,0.98,0,0.98,1.96,80.5,0,52.03,0
 84-94,0,0,0,0,257.01,1.06,124.26,2.12,5.31,44.61,9.56,0,6.37,1.06,2.12,3.19,1.06,0,0,1550.57,2.12,70.09,99.83,37.17,35.05,1.06,8.5,0,18.05,1.06,0,6.37,0,0,5.31,1.06,71.16,0,46.73,0
 96-106,0,0,0,1.09,318.02,6.56,100.54,1.09,10.93,54.64,20.76,3.28,12.02,3.28,0,2.19,1.09,1.09,1.09,1656.76,7.65,63.39,107.1,107.1,22.95,5.46,24.04,0,29.51,9.84,0,3.28,0,0,2.19,0,66.66,1.09,76.5,2.19
108-118,0.77,0,0,2.3,232.85,0,29.87,0,13.02,32.94,6.13,0.77,5.36,2.3,0,0.77,0,0.77,0.77,1400.18,1.53,44.43,87.32,88.09,20.68,4.6,15.32,0,26.04,6.13,0,3.83,0,0,1.53,0.77,45.96,0,37.53,0
120,0,0,1.96,0,192.06,3.92,27.44,0,13.72,27.44,5.88,0,5.88,1.96,0,1.96,3.92,7.84,0,1013.21,0,29.4,74.47,66.63,29.4,3.92,9.8,0,7.84,1.96,0,0,0,0,1.96,1.96,33.32,0,45.08,1.96
