stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,2.63,0,0,0,0,0,0,0,7.89,2.63,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
