stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,3,0,0,4,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,1,238,2,1,0,0,1,5,9,0,69,0,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,8.21,4.1,0,0,6.57,0,0.82,0,0,0,0,0.82,0,4.93,0,0,5.75,687.88,0,12.31,4.1,0.82,0,1.64,11.49,7.39,142.83,0,0,1.64,0.82
 36-46,0,0.81,0,4.03,0,0,12.89,8.86,0,0.81,36.26,0,0,0,0,0,0,0,0,2.42,0,0,4.03,854.82,0,8.06,4.03,2.42,0,0.81,10.47,0.81,181.28,0,0,0.81,0
 48-58,0,0,0,1.15,0.57,0,41.89,12.05,0.57,0,60.82,0,0,0.57,0.57,0,0,0,0.57,5.16,0,0,2.3,733.32,0,6.31,6.31,2.3,0,0,13.2,0,168.7,0,0,0.57,0.57
 60-70,0,0,0,3.93,0,0,79.5,11.78,0,0,102.08,0,0,0,0,0.98,0,0,0.98,11.78,0,0,3.93,955.02,0,5.89,1.96,1.96,0,2.94,8.83,0,133.49,0,0,0,0
 72-82,0,0,0.98,5.89,0,0,126.63,15.71,0.98,0,142.34,0,0,0,0,0,1.96,0,0,14.72,0,0,2.94,719.56,0.98,11.78,8.83,0.98,0,0,4.91,0,71.66,0,1.96,0.98,0.98
 84-94,0,0,0,3.19,2.12,1.06,74.34,18.05,0,0,87.09,1.06,1.06,0,1.06,1.06,0,0,0,6.37,1.06,1.06,5.31,387.64,0,7.43,12.74,1.06,0,1.06,12.74,0,39.3,0,0,2.12,0
 96-106,0,1.09,0,5.46,4.37,0,50.27,18.58,0,1.09,92.89,2.19,0,0,1.09,0,1.09,0,0,6.56,2.19,0,12.02,286.33,0,8.74,8.74,4.37,0,0,12.02,0,16.39,0,0,0,1.09
108-118,0,0,0,2.3,0.77,1.53,41.36,23.74,1.53,0,55.15,0.77,0,0,0,0,3.83,0,0,8.43,0.77,0,12.26,331.66,0,4.6,6.13,1.53,0,0.77,14.55,0,9.96,1.53,0.77,0.77,0
120,0,0,0,1.96,0,0,27.44,19.6,1.96,0,35.28,0,1.96,0,1.96,0,3.92,0,0,11.76,0,0,3.92,329.24,0,5.88,1.96,0,0,0,0,0,17.64,0,0,0,0
