stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,339.87,0,0,3.15,0,0,56.65,0,0,0,0,0
 14-21,0,0,0,4,1,0,1,0,0,0,0,1,1,24,0,0,0,0,0,0,66,0,28,40,2,0,0,0,0,5,145,1,387,2268,19,0,0,0,0
 24-34,0,0,0.82,3.28,0.82,0,8.21,219.99,3.28,2.46,2.46,1.64,0,13.95,0.82,1.64,0,0,1.64,1.64,17.24,0,64.03,148.57,2.46,0.82,1.64,0.82,0,6.57,0.82,4.1,128.05,678.03,19.7,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,18.53,393.97,2.42,0,1.61,0,0,12.89,0,0,0,0,0,0,12.89,0,47.53,110.38,0.81,2.42,1.61,0,0,4.03,0.81,2.42,56.4,37.06,25.78,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,33.28,371.25,0,0.57,7.46,0,0,5.16,0,0,0,0,0,0.57,18.36,0,81.48,100.42,1.15,0.57,0,0,0,5.16,0.57,0,40.17,0.57,24.67,2.3,1.15,0,3.44
 60-70,0,0,0,0.98,0,0,33.37,239.49,0,0.98,6.87,0,0,3.93,0.98,0.98,0,0,0,0,9.82,0,72.63,56.93,0,0.98,0.98,0,0,2.94,0,0,35.33,0,6.87,3.93,0.98,0,2.94
 72-82,0,0.98,0,0,2.94,0,17.67,160.99,0,0,4.91,2.94,0,3.93,1.96,0,0,0,0.98,0,14.72,0,58.9,35.34,0,0,0.98,0,0,2.94,0,0,16.69,0,3.93,0.98,0,0.98,2.94
 84-94,0,0,0,6.37,2.12,0,16.99,207.1,0,0,4.25,5.31,0,4.25,3.19,0,1.06,1.06,2.12,0,7.43,3.19,63.72,25.49,1.06,0,2.12,0,0,5.31,0,0,18.05,0,2.12,4.25,1.06,5.31,1.06
 96-106,0,0,0,4.37,5.46,0,19.67,262.28,0,1.09,7.65,5.46,0,7.65,1.09,0,0,0,1.09,0,18.58,0,69.94,43.71,0,0,2.19,1.09,1.09,4.37,0,0,26.23,0,4.37,0,1.09,2.19,1.09
108-118,0,0,0,3.83,3.83,2.3,11.49,207.58,1.53,0,6.89,0,0,3.83,0.77,0.77,0,0,1.53,1.53,9.96,0,65.87,19.92,0.77,0,0,0,0,3.06,0,1.53,21.45,0,0.77,0,3.06,1.53,0
120,0,0,0,1.96,1.96,0,7.84,103.87,0,0,7.84,0,0,5.88,5.88,0,0,0,0,0,1.96,0,72.51,17.64,0,0,0,0,0,7.84,1.96,3.92,11.76,0,1.96,0,0,1.96,0
