stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,6,0,7,0,0,0,22,0,0,0,1,0,0,0,0,5,0,8,82,1,3,3,3,0,0,7,18,4,137,0,0,1,0,0
 24-34,0,0,0,0.82,4.93,0.82,0,9.85,0,0,0,25.45,0.82,0,0,0,0,0,0.82,0,4.93,0,4.1,140.37,0.82,38.58,0.82,0,0,0,0,21.34,2.46,91.94,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,17.72,0,0,0,17.72,0.81,0.81,0,0,0,0,0.81,0.81,6.45,0.81,2.42,165.97,0,37.06,0,0,0,1.61,0,14.5,0,78.96,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,24.67,0,0,0.57,30.41,0,0,0.57,0,0,1.72,0.57,0,9.75,0.57,1.72,138.29,0,30.99,1.15,0,0,0,0,3.44,0,54.51,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,0,33.37,0,0.98,0.98,28.46,0,0,0.98,0,0,0.98,0,0,12.76,0,0,182.56,0,27.48,1.96,0,0,0,0,3.93,0,44.17,0,0,1.96,0,0
 72-82,0,0,3.93,0,1.96,0,0,72.64,0,0,0,45.16,3.93,0,0,0,0,7.85,0,0,18.65,0.98,1.96,144.3,0,45.16,11.78,0,0.98,1.96,0,0.98,0,20.61,0,1.96,0.98,0.98,0.98
 84-94,0,0,5.31,1.06,2.12,1.06,0,48.85,0,0,1.06,32.92,2.12,0,0,0,0,5.31,1.06,0,9.56,0,0,89.21,2.12,46.73,14.87,0,0,2.12,0,9.56,0,15.93,1.06,0,0,2.12,0
 96-106,0,0,3.28,2.19,1.09,1.09,0,38.25,0,1.09,1.09,29.51,3.28,1.09,0,0,0,9.84,2.19,0,3.28,2.19,2.19,86.33,0,73.22,14.21,0,0,2.19,0,1.09,0,18.58,1.09,3.28,2.19,0,5.46
108-118,0,0,3.06,0.77,2.3,0.77,0.77,24.51,0.77,0.77,0,26.04,3.06,0,0.77,0,0,6.89,0.77,0,7.66,0,1.53,128.68,0,58.21,6.89,0,0.77,0.77,0,5.36,0,9.96,0,0,0,0,0
120,0,0,0,1.96,3.92,0,0,35.28,0,0,0,11.76,1.96,0,0,0,3.92,5.88,0,0,11.76,1.96,7.84,107.79,0,33.32,9.8,0,0,0,0,3.92,0,7.84,1.96,1.96,0,1.96,0
