stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,4,1,1,0,0,0,0,0,1,2,0,1,7,1,0,0,0,0,4,0,2,0
 24-34,2.46,0,4.93,0,0,0.82,0,0,0,2.46,0,0.82,6.57,0,3.28,1.64,0,0,1.64,0,4.1,0
 36-46,3.22,0,0.81,0,0,2.42,0,0,0.81,10.47,0,2.42,1.61,0,1.61,1.61,0,0,1.61,0,6.45,0
 48-58,0,0,0,0.57,0.57,1.15,0,0.57,0,12.62,0,0.57,1.72,0,1.15,0.57,0,0,1.15,0,3.44,0
 60-70,0.98,0,0,0,0,0.98,0,0,0,34.35,0.98,0.98,1.96,0,1.96,0,0,0,0.98,0.98,2.94,0
 72-82,0.98,0,4.91,0,0,1.96,0.98,0,0,26.5,1.96,0.98,0.98,0,0.98,0,0.98,0,0,0,4.91,0
 84-94,2.12,0,4.25,0,1.06,3.19,1.06,0,0,20.18,0,1.06,0,0,1.06,0,0,0,0,0,5.31,0
 96-106,0,0,8.74,0,2.19,3.28,1.09,0,0,12.02,0,1.09,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0.77,0,3.83,0,0.77,3.83,0,0,0.77,8.43,1.53,0,0,0,0.77,0.77,0,0,0.77,0,2.3,0.77
120,1.96,0,0,0,0,0,0,0,3.92,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0
