stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,10,2,2,0,0,0,0,0,0,1,0,0,6,0,0,34,8,0,2,0,3,3,5,1,14,4,0,0,0,0
 24-34,0,0,0,2.46,0,2.46,0,0,1.64,0,0,0,0,0,2.46,22.98,0,0.82,44.33,27.91,4.93,2.46,0,2.46,2.46,0.82,0,2.46,21.34,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,9.67,0,0,9.67,13.7,6.45,0.81,0,0,0.81,0,0,0,4.03,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,0,0.57,0,0,1.15,0,0,2.3,10.33,0.57,1.15,9.75,18.36,6.31,0.57,0,0.57,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0.98,0,3.93,0,0,0.98,0,0,0,0,0,2.94,15.7,0,0,9.82,15.7,5.89,1.96,0,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,0,0,1.96,0,1.96,0.98,0.98,8.83,0.98,0,1.96,0,0,1.96,23.56,0,0,9.82,14.72,11.78,9.82,0,0.98,0,0,0,0,1.96,0,1.96,0.98,0
 84-94,0,1.06,0,3.19,0,2.12,1.06,0,3.19,1.06,0,2.12,1.06,0,3.19,12.74,0,0,18.05,10.62,13.81,2.12,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,3.28,2.19,1.09,1.09,0,0,1.09,9.84,0,0,6.56,10.93,15.3,2.19,0,1.09,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,3.83,0,1.53,0.77,0,5.36,0.77,0,2.3,0,0.77,3.06,9.19,0,0.77,16.09,13.02,12.26,0.77,0,1.53,0,0,0,0,0.77,0.77,1.53,0,0.77
120,0,0,0,7.84,0,1.96,1.96,0,0,0,0,7.84,0,1.96,0,15.68,0,0,17.64,13.72,13.72,0,0,0,0,0,0,0,0,0,1.96,0,0
