stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,3.28,0,0,0,0,0.82,0,0,0,2.46,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,0,0,0,0,0,6.31,0,0,0.57,6.89,0,0,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0.98,0,0,17.67,0.98,1.96,0,0,0,0,20.61,0.98,0,0,4.91,0,0,0.98,0,0.98,0,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,11.78,0.98,2.94,0,0,0,0.98,64.79,0.98,0,0.98,12.76,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,11.68,0,6.37,0,0,1.06,0,214.53,1.06,0,0,8.5,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,4.37,2.19,9.84,0,2.19,2.19,0,393.42,4.37,0,0,40.44,0,0,1.09,0,3.28,0,0,0,0,0,0
108-118,0,0,1.53,0,9.19,2.3,6.13,0.77,0,0,0,730.73,3.83,0.77,0,38.3,0,0,0,0,2.3,0,0,0,1.53,0,1.53
120,0,0,0,0,5.88,0,1.96,0,0,0,0,335.12,3.92,0,0,17.64,0,0,0,0,7.84,0,0,0,0,0,0
