stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,18.06,0,0.82,0,58.28,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,44.31,0.81,0.81,0,82.98,0,0,0
 48-58,0,0,0.57,1.15,0,0,0,0.57,0.57,0,0,51.64,0,0,0,53.94,0,0,0.57
 60-70,0,0,0.98,2.94,0,0,0,0,0,0,0,53.98,0,0,0,48.09,0,0,0
 72-82,0,0,0.98,5.89,0,4.91,0,0,0,0,0.98,87.37,0,0,0,34.36,1.96,0,0
 84-94,0,1.06,0,3.19,0,2.12,1.06,1.06,0,1.06,0,41.42,0,0,0,12.74,2.12,0,0
 96-106,0,0,3.28,2.19,1.09,1.09,0,0,0,0,0,32.79,0,1.09,0,6.56,2.19,0,0
108-118,0,0,0,4.6,0,2.3,0,0,0.77,0,0,32.94,0,0,0,3.06,0,0,0
120,0,0,1.96,5.88,0,3.92,0,0,0,0,0,56.83,0,3.92,0,17.64,0,0,0
