stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,31.54,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,102.52,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,40.91,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,24,0,0,0,0,0,0,0,1,0,3,12,0,0,1,0,0
 24-34,0,0,0,3.28,0,6.57,0,0.82,2.46,0,0,0,0,0,0,0,0.82,11.49,0,0,6.57,96.04,3.28,2.46,1.64,0,0,2.46,0,0,0,2.46,21.34,0,0,0.82,0,0
 36-46,0,0,0,0,0,30.62,0,0.81,4.83,0,0,0,0,0.81,0,0,0,6.45,0,0,4.03,107.15,0,1.61,0,0,0,0,0,0,0,0,16.11,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,32.71,0.57,1.15,11.48,0,0,0.57,0.57,0.57,0.57,0,0,11.48,0.57,0.57,0.57,96.97,0,0.57,0.57,0,1.15,1.15,0,0,0,0,18.36,0,0,0,0,0.57
 60-70,0,0,0,0,0,30.43,0.98,0,8.83,0,0,0,0,0,0,1.96,0,14.72,0,0,0.98,74.6,0,0.98,0,0,0,1.96,0,0,0,0,9.82,0,1.96,0.98,0,0.98
 72-82,0,0,0,0.98,0,38.28,0,1.96,11.78,0.98,0,0,0,0,0,0.98,0,16.69,0,0,0,64.79,0,0,1.96,0,0,0,0,0,0,0,6.87,0.98,0,1.96,0.98,0.98
 84-94,0,0,0,2.12,0,19.12,0,0,5.31,0,0,0,2.12,0,0,0,0,16.99,1.06,2.12,1.06,31.86,0,0,1.06,0,1.06,5.31,0,0,1.06,0,3.19,0,0,4.25,0,0
 96-106,0,0,0,1.09,0,12.02,0,0,6.56,0,0,1.09,2.19,0,0,1.09,0,7.65,2.19,1.09,0,33.88,0,1.09,1.09,0,0,3.28,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,4.6,0,9.96,0,0,4.6,0,0,0,0,0,0.77,0,0.77,6.89,0,0,2.3,27.57,0.77,0.77,0,0,0,3.06,0,0,0,0,0,0.77,0.77,0.77,1.53,0.77
120,0,0,0,5.88,0,7.84,0,0,1.96,3.92,0,0,0,0,0,0,0,3.92,0,0,3.92,52.91,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
