stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,8,29,0,0,1,1,0,0,1,0,1,3,4,0,12,0,0
 24-34,0,0,0,0.82,6.57,0,4.93,0,3.28,2.46,0.82,0,2.46,0,0,0,0,59.1,0,0,38.58,126.41,0,1.64,0,0,0,0,0,0,0,4.1,7.39,0,39.4,0,0
 36-46,0,0,0,1.61,0.81,0,2.42,0,0.81,7.25,6.45,0,2.42,1.61,0.81,0,0,133.74,0,0.81,44.31,215.11,0,0.81,0,0,0,0.81,0,0.81,0,0,9.67,0,19.34,0,0
 48-58,0,0,0,0.57,0,0,14.92,0,5.16,12.62,14.35,0.57,4.59,1.72,1.15,0,0,211.73,0,1.15,47.05,191.08,0,0,0.57,0,1.15,2.3,0,0,0,0,24.1,0.57,20.08,0,0.57
 60-70,0,0,0,0.98,0.98,0,39.26,0,7.85,10.8,11.78,0,0.98,7.85,0,0,0.98,259.12,0,10.8,28.46,160.97,0.98,0,0,0,4.91,0,0,0.98,0,0,14.72,5.89,24.54,2.94,0
 72-82,0,0,0,7.85,0.98,0,108.96,0,1.96,12.76,35.34,0.98,8.83,13.74,0.98,0.98,0,409.35,0,10.8,53.99,155.1,0,0,0,0,6.87,0.98,0,0.98,0,0,3.93,4.91,51.05,10.8,0.98
 84-94,0,0,0,6.37,0,1.06,61.6,0,11.68,8.5,23.36,2.12,3.19,22.3,0,0,1.06,264.45,1.06,8.5,24.43,74.34,0,0,0,0,1.06,0,0,0,1.06,0,5.31,2.12,38.23,7.43,0
 96-106,0,0,0,6.56,3.28,0,49.18,1.09,18.58,9.84,25.14,0,7.65,28.41,0,0,0,328.95,0,9.84,42.62,80.87,0,0,0,0,8.74,1.09,0,1.09,0,0,1.09,3.28,42.62,7.65,1.09
108-118,0.77,0,0.77,0.77,1.53,1.53,39.83,0,22.98,10.72,24.51,1.53,3.83,23.74,0.77,0,0.77,259.66,0,7.66,28.34,80.43,0,0,0.77,0,6.13,0.77,0,0,0,0,0,3.83,33.7,4.6,0
120,0,0,0,7.84,1.96,3.92,41.16,0,17.64,11.76,17.64,0,3.92,23.52,0,0,0,178.34,0,5.88,15.68,66.63,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,19.6,7.84,0
