stage,endoderm,eye,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,spinal.cord
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,2.42,0,0.81,0,0,1.61
 48-58,0,0.57,0,0,0.57,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0.98,0,0,0,0,0.98
 72-82,0,1.96,0,0,0,0.98,0,1.96,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,1.06,0,1.06,1.06,0,0,0,0
 96-106,0,8.74,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,3.06,2.3,1.53,0,0.77,0,1.53,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0
