stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0
 14-21,0,0,1,0,1,0,10,0,0,13
 24-34,0,0,0.82,0,3.28,0,20.52,0.82,0,18.06
 36-46,0,0,0,6.45,4.03,0,26.59,0,0,12.09
 48-58,0,0,0,12.05,6.89,0,16.07,0,0,8.03
 60-70,0,0,0,29.45,3.93,0,19.63,0,0,0.98
 72-82,0,0,0,6.87,4.91,0,10.8,0,0,0
 84-94,0,0,0,6.37,5.31,0,12.74,0,0,0
 96-106,0,0,0,3.28,0,0,10.93,0,0,2.19
108-118,0,0,0,2.3,2.3,0.77,8.43,0,0,0
120,0,0,0,5.88,1.96,0,7.84,0,0,0
