stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,2,1,7,151,42,57,0,2,0,17,7,246,2,2,8,0,1,5,1,64,0,0,38,750,35,1,7,19,0,48,98,10,15,129,246,0,9,3
 24-34,0,0,0,9.85,109.17,15.6,159.25,3.28,9.03,3.28,36.94,4.1,76.34,8.21,4.1,13.13,3.28,4.1,10.67,9.85,141.19,4.1,0,81.26,1660.59,10.67,19.7,18.88,0,0.82,110.82,0,7.39,9.03,43.51,363.64,0,55.82,11.49
 36-46,0,0,0.81,1.61,18.53,2.42,58.81,0,0.81,1.61,12.09,0.81,24.98,2.42,1.61,2.42,0.81,0,4.03,1.61,41.89,2.42,0.81,8.06,443.12,5.64,3.22,1.61,0,0,38.67,0,3.22,2.42,0,97.49,0,13.7,2.42
 48-58,0,0,0,0,8.61,1.15,114.76,1.15,2.3,2.87,24.1,0.57,46.48,0.57,1.72,1.15,0,0.57,0.57,2.87,61.4,2.3,2.87,9.75,331.09,1.15,1.15,0.57,0,0,18.36,0,0,0,0,69.43,0.57,1.15,5.16
 60-70,0,0,0,0,3.93,0,36.32,0,1.96,0,8.83,0,26.5,0.98,2.94,0,0,0.98,0,0.98,25.52,0,0,2.94,61.84,0,0,0.98,0,0,4.91,0,0,0,0,6.87,0.98,1.96,1.96
 72-82,0,0,0,0,0,0,4.91,0,0,0.98,0,0.98,14.72,0,0,0,0,0,0,0,1.96,0,0,0,9.82,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,0,22.3,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,3.28,0,0,0,1.09,0,2.19,0,1.09,0,0,0,0,0,4.37,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,1.53,0,0,0,3.06,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
