stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,1.61,0.81,0,0.81,0.81,0
 48-58,0,0,0.57,0,0.57,0,0.57,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
