stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,6.13,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,15.77,0,15.77,0,2.63
 10-12,0,3.15,3.15,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0
