stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,210.85,2516.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,147.11,1845.02,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,24.52,0,0,24.52,0,49.04,0,0,0,0,0,0,0,0,0
  7-9,26.29,21.03,0,23.66,0,0,0,55.2,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,496.83,18.4,0,0,218.18,0,7.89,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,91.26,9.44,0,0,59.79,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,70,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,4,1,0,5,37,3,0,4,0,0,4,1,11,3,5,10,7,0,2,0
 24-34,0,0,0,0,5.75,0,0,0,0,0.82,0,0.82,3.28,0.82,0,0,5.75,0,0.82,0,0,3.28,0.82,0,3.28,11.49,0,5.75,0,0,0,4.1,0.82,0,0,0.82,0,0.82,0,10.67,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,2.42,0,0,1.61,2.42,0,1.61,0,0,0.81,0,0,0,13.7,0,7.25,0.81,0,0,16.11,0.81,0,0.81,0.81,0,0.81,0,6.45,0
 48-58,0,0,0,0,3.44,0,0,0.57,0,0.57,0,0.57,0.57,0.57,0,1.72,1.15,0,0,0,0,1.72,1.15,0,0,7.46,0,3.44,0,0,0,10.9,0,0,0,0,0,0.57,0,13.2,0
 60-70,0,0,0,0,4.91,0,0,2.94,0,1.96,0,15.7,9.82,0,0,12.76,0.98,0,0,0.98,0,4.91,0,0,0,15.7,0,3.93,0.98,0,0,27.48,0,0,0,0,0,0.98,0,17.67,0
 72-82,0,0,0,0,11.78,0,0,8.83,0,0.98,0.98,59.88,30.43,0,0,32.39,0,0.98,1.96,0,1.96,3.93,1.96,0,0.98,24.54,0,5.89,1.96,0,0,35.34,0.98,0,0,0,0,1.96,1.96,32.39,0
 84-94,0,0,1.06,0,48.85,0,0,7.43,1.06,6.37,1.06,60.54,79.65,0,1.06,48.85,1.06,0,2.12,1.06,2.12,7.43,2.12,0,1.06,12.74,0,22.3,1.06,0,0,176.3,0,0,2.12,0,0,0,3.19,45.67,1.06
 96-106,0,0,0,1.09,90.71,3.28,0,24.04,1.09,30.6,0,132.23,121.31,0,2.19,85.24,12.02,1.09,6.56,6.56,3.28,25.14,10.93,7.65,3.28,56.83,0,63.39,4.37,0,1.09,552.98,1.09,0,6.56,0,0,0,10.93,63.39,1.09
108-118,0,0,0,1.53,117.96,1.53,0.77,10.72,0,36,0,119.49,166.21,0,0,52.85,22.21,4.6,5.36,9.96,0.77,19.92,9.19,3.06,6.89,47.49,0,31.4,6.89,0,0,311.75,1.53,0,6.13,0,0,1.53,17.62,59.75,0
120,0,0,0,0,94.07,5.88,1.96,7.84,0,47.03,3.92,129.35,103.87,0,1.96,68.59,7.84,0,1.96,13.72,3.92,23.52,17.64,1.96,5.88,33.32,0,13.72,7.84,0,1.96,521.3,1.96,0,9.8,1.96,0,1.96,15.68,54.87,1.96
