stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,31.54,0,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,199.78,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,3.15,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,31.47,0,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,14,5,0,9,0,0,0,2,1,0,0,0,0,0,0,0,14,0,0,5,229,1,1,2,2,0,4,7,170,0,12,104,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,7.39,0,0,0,1.64,0,0,0,0,0,0,0,0,4.1,0,0,0,70.59,0.82,4.1,0,0,0,0.82,0,38.58,0,0,24.63,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,18.53,0,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0.81,0.81,68.48,0,2.42,0,0,0,0.81,0,18.53,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,76.32,0,0,0,2.87,0,0,0,0,0,0,0,0.57,2.87,0,0.57,0.57,62.54,0,3.44,0,0,0,0,0,16.07,0,0,9.18,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,484.87,0,0,0,5.89,1.96,0,0,0,0.98,0,0,0,12.76,0,0.98,0.98,100.12,0,1.96,0,0,0,0.98,0,28.46,0,0,15.7,0,0,0.98,3.93,0.98
 72-82,0,0,1.96,0,4.91,0,0,1033.69,0,0,0.98,35.34,4.91,0,0.98,0.98,1.96,0.98,0,0,19.63,0,1.96,0,141.36,0,4.91,0.98,0,0.98,0,0,35.34,0.98,0,26.5,0,1.96,0.98,8.83,0.98
 84-94,0,0,2.12,0,11.68,1.06,0,543.76,0,0,0,31.86,3.19,0,0,0,0,2.12,0,0,16.99,0,4.25,1.06,94.52,0,1.06,2.12,0,0,1.06,0,67.97,0,0,11.68,0,3.19,2.12,9.56,1.06
 96-106,0,0,3.28,0,7.65,2.19,0,616.37,2.19,1.09,1.09,34.97,6.56,0,1.09,1.09,0,0,2.19,1.09,32.79,0,2.19,1.09,81.96,0,4.37,0,0,0,3.28,0,72.13,0,0,2.19,0,5.46,2.19,32.79,3.28
108-118,0,0,0,0,3.06,0,0.77,411.32,0,0.77,0.77,13.02,3.06,0,0,1.53,0,0.77,0,0.77,32.17,0,4.6,3.83,94.98,1.53,3.06,1.53,0,0.77,0,0,36.77,0,0,6.13,1.53,0.77,0,19.15,1.53
120,0,0,0,0,7.84,0,0,280.25,0,0,1.96,17.64,0,0,0,1.96,0,1.96,0,1.96,47.03,1.96,1.96,5.88,82.31,0,3.92,1.96,0,1.96,1.96,0,29.4,0,0,1.96,0,1.96,0,35.28,0
