stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,6.29,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,23,8,0,8,0,0,0,0,19,0,0,3,37,0,0,5,12,5,4,0,0,15,1,0,6,0,47,0,192,1,3,2,0,0,2,0,0
 24-34,0,0,0,2.46,3.28,0.82,0,70.59,0,0.82,0,0.82,9.85,0.82,1.64,18.88,92.76,0,1.64,6.57,22.16,7.39,12.31,0,0,37.76,0,6.57,17.24,0,104.25,0,102.61,0.82,0,4.93,0,0,11.49,0,0
 36-46,0,0,0,3.22,6.45,0,0,47.53,0,0,0,0,12.09,2.42,0,13.7,37.06,0,1.61,3.22,2.42,12.89,12.09,0,1.61,26.59,0,4.83,8.06,0,52.37,0.81,64.45,0.81,0,4.03,0,0,5.64,0,1.61
 48-58,0,0,1.72,1.72,6.89,0.57,0,80.33,0,0.57,0,2.3,14.35,7.46,0,22.95,25.82,1.15,2.3,2.87,2.87,22.38,13.77,0,0.57,23.53,0,4.02,16.07,0,55.09,0,41.31,0,0,2.87,0,0,5.74,0,0.57
 60-70,0,0,2.94,0.98,14.72,0,0,106,0,5.89,1.96,3.93,37.3,2.94,0,30.43,30.43,0.98,4.91,0.98,0,34.35,10.8,0.98,1.96,29.45,0,5.89,14.72,0,84.41,0,54.97,0,0,6.87,0,0,7.85,0,0
 72-82,0,0,17.67,0.98,20.61,0,0,105.04,0,1.96,0,12.76,108.96,6.87,0,34.36,52.03,0.98,4.91,1.96,1.96,64.79,17.67,0.98,0.98,47.12,0,5.89,18.65,0,79.51,0,76.57,0,0,1.96,0,0,15.71,0,0
 84-94,0,0,11.68,5.31,38.23,4.25,0,181.61,0,8.5,2.12,8.5,202.85,7.43,0,45.67,81.78,3.19,10.62,3.19,4.25,49.92,19.12,0,0,32.92,2.12,15.93,24.43,0,266.57,0,175.24,0,0,0,5.31,2.12,12.74,1.06,0
 96-106,0,0,17.49,9.84,72.13,3.28,5.46,169.39,1.09,5.46,3.28,18.58,291.79,1.09,1.09,60.11,106.01,0,17.49,1.09,3.28,49.18,14.21,1.09,2.19,64.48,1.09,27.32,33.88,0,302.72,0,174.86,0,0,1.09,9.84,0,20.76,2.19,2.19
108-118,0,0,7.66,9.96,65.11,3.83,8.43,163.92,1.53,4.6,0.77,10.72,350.81,0,2.3,49.79,95.75,1.53,13.02,3.06,3.83,44.43,16.85,2.3,3.06,46.72,0,20.68,29.87,0,227.49,0,170.04,0,0,0.77,23.74,0,14.55,0.77,0
120,0,0,7.84,0,45.08,0,0,62.71,0,7.84,1.96,11.76,239.09,0,0,68.59,45.08,1.96,7.84,1.96,3.92,29.4,7.84,0,0,47.03,0,11.76,23.52,0,176.38,0,107.79,0,0,0,7.84,0,5.88,0,1.96
