stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0.82,5.75,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,35.45,0,0,0,0,2.42,0,0,0,4.83,0,0,0,0,0.81,3.22,0
 48-58,0,0,0,0,0,0,0,0,0,18.36,0,0,0.57,0,4.02,0,0,0,4.59,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,0,0,0,0,35.33,0,0,0,0.98,4.91,0,0,0,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,0,0,0,0.98,0,34.36,0,1.96,0.98,1.96,1.96,3.93,0,0,4.91,0.98,0,0,0,0.98,1.96,0
 84-94,0,1.06,0,1.06,0,1.06,0,0,0,53.1,0,2.12,0,4.25,3.19,0,0,0,1.06,2.12,0,0,0,0,0,0
 96-106,0,2.19,0,10.93,1.09,0,0,8.74,0,73.22,0,2.19,1.09,4.37,6.56,1.09,0,0,4.37,4.37,0,1.09,0,3.28,1.09,0
108-118,0,0,0.77,12.26,0.77,1.53,0.77,11.49,0,65.87,0.77,9.96,1.53,10.72,3.06,1.53,0.77,0.77,6.13,4.6,0,0.77,0.77,0,0.77,0
120,0,0,0,7.84,0,0,1.96,11.76,0,72.51,0,7.84,0,9.8,1.96,0,0,0,1.96,1.96,0,0,1.96,0,0,0
