stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,12.59,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,47,0,0,0,1,1,0,0,0,1,0,0,53,5,0,0,3,28,1,0,0,0,0,0,0,0,0,1,6,14,0,0,0,54
 24-34,0,0,0,5.75,0.82,0,154.32,0,1.64,0,0,0.82,0,0,0,2.46,0,0,155.96,7.39,0,0,3.28,68.95,0.82,0.82,0,0,0,3.28,0,0,0,0,3.28,7.39,0,4.93,0,183.05
 36-46,0,0,0,2.42,0,0,112.79,0.81,0.81,0,0.81,0,0,0,0,12.09,0,0,154.69,4.03,0,0,1.61,47.53,0,0.81,0,0,0,0.81,0,0,0.81,0,0,8.06,0,1.61,0,155.49
 48-58,0,0,0,0,0,0,134.27,0,0,0.57,6.31,0,0,0,0.57,21.8,0,0,112.47,4.59,0,0,1.72,44.76,0.57,1.15,0,0,0,4.02,0,0,0,0.57,0,6.89,0,2.3,0,156.65
 60-70,0,0,0,3.93,0,0,161.95,0,0,1.96,5.89,0,0,0,0,61.84,0,1.96,64.78,17.67,0,0,1.96,40.24,0,0,0,0,0,2.94,0,0.98,0,0,0,2.94,0,0,0,133.49
 72-82,0,0,0,2.94,0.98,0,109.95,0,0.98,0.98,6.87,0,0,0,0,50.06,0,0.98,64.79,28.47,0,0.98,1.96,32.39,0,1.96,0,0,0,0.98,0,0,0.98,0,0,0.98,1.96,2.94,0.98,102.09
 84-94,0,0,0,0,0,0,220.9,1.06,0,1.06,4.25,0,0,0,0,88.15,0,0,109.39,23.36,0,0,3.19,20.18,0,0,0,0,0,6.37,0,0,0,0,0,1.06,0,0,1.06,94.52
 96-106,0,0,0,3.28,0,1.09,172.67,0,0,0,7.65,0,0,1.09,0,79.78,1.09,1.09,71.04,20.76,0,0,1.09,26.23,0,2.19,0,0,1.09,1.09,0,0,0,0,0,1.09,1.09,1.09,0,86.33
108-118,0,0,0,2.3,0,0,164.68,0,0,0,6.13,2.3,0,1.53,0,94.21,0,0,100.34,19.92,0.77,0.77,0.77,11.49,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0.77,0.77,0,85.79
120,0,0,0,1.96,1.96,0,45.08,0,0,0,3.92,0,0,0,0,54.87,0,0,39.2,15.68,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,23.52
