stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,31.41,1.96,0,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,54.16,1.06,0,1.06,0,0,0,0,0,1.06,5.31,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,224.03,2.19,0,1.09,0,1.09,1.09,0,1.09,4.37,10.93,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,2.3,428.94,3.83,0.77,4.6,0,0.77,0,0.77,0,1.53,12.26,0,0,1.53,0,0,0,1.53
120,0,0,1.96,3.92,168.54,1.96,0,0,1.96,0,0,0,0,1.96,11.76,0,0,1.96,1.96,0,0,0
