stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,18.06,0,0.82,0,4.1,0,0,0,0
 36-46,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0,24.98,20.14,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0,0,0.57,0,10.33,0,0,0,0.57,0,0,17.79,17.79,0.57,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,3.93,1.96,4.91,0,0,0,3.93,0,0,33.37,11.78,0,0,0,8.83,0,0,0,0
 72-82,0,0,0.98,0.98,5.89,0,6.87,0,0.98,0,1.96,0,0,13.74,31.41,0,0,0,2.94,0,0,0.98,5.89
 84-94,0,0,0,0,3.19,1.06,8.5,0,0,0,2.12,1.06,0,12.74,36.11,0,0,0,5.31,1.06,0,1.06,2.12
 96-106,0,0,0,0,2.19,2.19,3.28,1.09,0,0,6.56,0,1.09,4.37,72.13,0,0,0,4.37,0,0,4.37,3.28
108-118,0,0,0,0,1.53,0,0,0,0,0.77,1.53,0,0.77,6.89,49.79,0,0.77,0,0.77,0,0,0.77,3.06
120,0,0,0,0,1.96,0,0,0,1.96,0,3.92,0,1.96,5.88,47.03,0,0,0,5.88,0,1.96,1.96,0
