stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,131.78,5402.95,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0
  5-6,61.3,662,0,0,0,0,0,0,0,0,0,36.78,0,18.39,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,10.51,0,0,36.8,2.63,15.77,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,0,0,2.46,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0.81,0,0,4.03,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,1.72,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0
