stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,8,0,2,0,0,0,0,0,0,0,0,0,0,13,3,0,0,3,2,0,0,0,0,5,2,0,7,4,0,0,0,2,0,0
 24-34,0,0,0,26.27,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0,10.67,4.93,4.93,0,1.64,11.49,0,0.82,0,0,28.73,0,0,0,1.64,2.46,0,0,2.46,0,0
 36-46,0,0,0,33.84,0,0,1.61,0,3.22,0,0,0,0,2.42,0.81,0,0,1.61,4.83,9.67,0,1.61,20.95,0.81,0,0,0,24.17,0,0.81,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,28.12,0,0,4.02,0,4.02,0,0,2.3,0,2.3,0.57,0,0,1.15,5.16,6.89,0,0,17.21,0,0.57,0,0,19.51,0,0,0,0,1.72,0,0,1.15,0,0
 60-70,0,0,0,39.26,0,0,2.94,0,7.85,0,0.98,4.91,0,5.89,0.98,0,0,1.96,10.8,2.94,0,0,18.65,0,0,0,0,25.52,0,0.98,0.98,0,1.96,0.98,0,0,0,0
 72-82,0,1.96,0,55.95,0,0,6.87,0,10.8,0.98,4.91,30.43,0.98,12.76,0.98,0.98,0.98,2.94,20.61,21.6,0,1.96,35.34,0,0.98,0.98,0,38.28,0,0.98,0.98,0,1.96,1.96,0.98,1.96,0,0
 84-94,0,1.06,0,110.45,3.19,0,1.06,1.06,27.61,0,1.06,62.66,2.12,25.49,2.12,0,0,0,23.36,20.18,0,1.06,21.24,0,1.06,0,1.06,152.93,0,0,1.06,0,0,5.31,0,4.25,0,0
 96-106,0,0,1.09,119.12,1.09,0,8.74,0,15.3,2.19,6.56,133.33,1.09,19.67,2.19,0,3.28,3.28,29.51,13.11,0,1.09,50.27,0,5.46,1.09,0,126.77,0,0,1.09,0,3.28,2.19,0,1.09,1.09,1.09
108-118,0,1.53,0,131.75,2.3,0.77,5.36,0.77,26.81,1.53,3.83,176.17,0,23.74,6.89,0,3.06,2.3,26.04,16.09,0.77,0.77,39.06,0,3.06,3.83,0,114.89,0,3.06,8.43,0,1.53,3.06,0.77,3.83,0.77,0
120,0,0,1.96,84.27,0,0,5.88,0,9.8,0,3.92,117.59,0,31.36,5.88,0,1.96,1.96,5.88,9.8,0,1.96,56.83,0,1.96,1.96,0,74.47,0,11.76,0,0,0,11.76,0,1.96,0,0
