stage,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0
 24-34,0.82,0,1.64,0,0,0,0,0,0.82,0,0,29.55,2.46,0,0,16.42,0,0
 36-46,0,0,2.42,0,0.81,0,0,0,0.81,0,0,82.98,4.03,0,0,26.59,0,0
 48-58,0,0,8.61,0,1.72,0,0.57,0,1.72,0,0,107.3,0.57,0,0.57,26.97,0.57,0.57
 60-70,0,0,71.65,0,0.98,0.98,0,0,0.98,0,0.98,237.53,5.89,0,0,34.35,0.98,0
 72-82,1.96,0,85.4,0,3.93,0.98,0,0,1.96,0.98,0,244.43,3.93,0,0,11.78,0,0.98
 84-94,0,0,48.85,1.06,3.19,0,0,0,1.06,0,0,96.65,1.06,0,1.06,5.31,0,0
 96-106,2.19,0,41.53,0,0,0,0,0,2.19,1.09,0,92.89,6.56,0,0,5.46,0,0
108-118,0.77,0,25.28,0.77,3.83,0,0,0,3.83,0,0,84.26,1.53,0,0,3.83,0,0
120,1.96,1.96,31.36,1.96,1.96,0,0,1.96,1.96,0,1.96,111.71,1.96,0,0,0,1.96,0
