stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,8,2,1,0,0,0,1,1,1,4,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0.82,9.85,0,0,0,0,0,0.82,0.82,0.82,2.46,0,4.93,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,15.31,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,1.15,0,0,4.02,0,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0.98,0,0.98,2.94,0,0,6.87,0,0,0,0,0.98,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,1.96,4.91,0.98,3.93,0,0,0.98,0,0,0,0.98,8.83,0,0.98,4.91,0,0,0,0,0.98,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,0,1.06,0,0,3.19,1.06,0,1.06,0,0,0,1.06,3.19,0,2.12,2.12,0,0,0,0,6.37,0,1.06,0,0,1.06,3.19,0
 96-106,0,0,0,4.37,0,1.09,4.37,0,0,7.65,0,0,2.19,0,1.09,0,0,3.28,0,0,0,0,19.67,0,0,0,0,0,2.19,1.09
108-118,0,0,0.77,6.89,0,0,3.83,1.53,0,0.77,1.53,0,0,0,3.83,0,0,6.13,0,0,0,0,13.79,0.77,0.77,0,0,0.77,3.83,0
120,0,0,0,0,0,0,5.88,1.96,0,1.96,0,1.96,0,0,7.84,1.96,0,7.84,0,0,0,1.96,17.64,0,0,0,0,0,7.84,0
