stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7,12,40,26,0,15,0,0,0,10,5,6,1,0,5,0,0,0,0,20,0,0,24,201,17,5,1,2,0,10,2,22,4,0,47,177,0,0,1,0,1
 24-34,0.82,6.57,3.28,13.13,2.46,0,50.89,0,2.46,0.82,6.57,0,4.93,0,2.46,10.67,0,2.46,0,1.64,45.15,0.82,0.82,34.48,782.28,14.78,20.52,5.75,0,0.82,21.34,0,0.82,6.57,0,6.57,223.27,0,0,9.85,0,16.42
 36-46,0,0.81,0,4.83,1.61,0,99.9,0.81,1.61,0.81,16.92,0,0.81,1.61,0,2.42,1.61,2.42,0,3.22,56.4,0,3.22,13.7,1100.54,12.89,17.72,3.22,0,0.81,22.56,0,0,2.42,0,0,285.21,0,0.81,4.03,0,29.81
 48-58,0,0.57,0,6.31,6.31,0,204.27,0.57,2.3,1.15,31.56,2.3,1.15,0,0,1.72,1.72,2.87,0,5.16,57.38,1.15,0.57,12.62,886.53,1.72,8.61,1.72,0,0.57,9.18,0,0,0.57,0,0,197.39,0,0,6.89,0.57,52.79
 60-70,0,5.89,0,7.85,31.41,0,389.66,0.98,1.96,1.96,40.24,3.93,0.98,3.93,0,1.96,0,2.94,0,0.98,78.52,0,0.98,4.91,895.15,4.91,9.82,1.96,0,0.98,13.74,0,0,3.93,0,0,121.71,0,1.96,6.87,0,37.3
 72-82,0,14.72,0,16.69,130.56,0,374.99,0,0.98,4.91,47.12,11.78,3.93,2.94,3.93,3.93,1.96,7.85,2.94,6.87,116.82,3.93,3.93,5.89,712.69,1.96,12.76,4.91,0,0.98,25.52,0,0,1.96,0,0,74.61,2.94,3.93,17.67,0.98,34.36
 84-94,0,9.56,0,25.49,103.02,1.06,278.25,1.06,2.12,5.31,38.23,11.68,5.31,3.19,1.06,7.43,5.31,3.19,1.06,6.37,69.03,4.25,4.25,9.56,417.38,5.31,8.5,7.43,0,0,65.85,0,0,0,0,0,56.29,9.56,0,10.62,4.25,31.86
 96-106,0,12.02,0,20.76,116.93,2.19,205.46,2.19,3.28,1.09,42.62,18.58,1.09,1.09,12.02,7.65,3.28,3.28,2.19,7.65,80.87,4.37,3.28,10.93,360.64,2.19,17.49,15.3,0,0,69.94,1.09,0,2.19,0,0,26.23,9.84,4.37,20.76,5.46,34.97
108-118,0,7.66,0,30.64,54.38,3.83,173.87,1.53,6.13,3.06,35.23,16.85,0,1.53,6.13,10.72,5.36,6.13,3.83,5.36,55.92,3.83,1.53,4.6,390.64,3.83,9.96,10.72,0,1.53,45.19,0,0,0.77,1.53,0,19.15,16.09,1.53,19.92,3.06,29.87
120,0,9.8,0,33.32,52.91,1.96,145.02,0,5.88,1.96,41.16,17.64,0,0,7.84,15.68,3.92,0,5.88,3.92,54.87,1.96,0,3.92,370.4,5.88,11.76,5.88,0,0,45.08,0,0,0,1.96,0,23.52,1.96,0,13.72,1.96,5.88
