stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,28.92,0,0,147.21,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,830.67,26.29,0,0,257.61,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,15.73,0,3.15,119.58,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,859.12,15.73,0,0,314.7,0,3.15,3.15,9.44,12.59,0,6.29,3.15,0,0,0,0
 14-21,0,0,1,32,5,35,1,0,12,2,0,1,0,0,0,1,0,1,22,0,0,13,398,5,1,5,5,0,3,0,42,0,4,35,113,0,1,0,0
 24-34,0,0,2.46,6.57,0.82,41.86,0,1.64,4.93,0,0,0,0,0,0,0,0,0,22.16,0,0,8.21,334.91,0,0.82,0.82,0,0,2.46,0,0,0,0,2.46,66.49,0,2.46,0,0
 36-46,0,0,0,0.81,0,36.26,0,0,4.83,0.81,0,0,0,0,0,0,0,0,9.67,0.81,0.81,2.42,84.6,0,0,0,0,0,0.81,0,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,0.57,0,56.23,0,1.15,10.9,0.57,0,0,0,0,1.15,0,0,0,15.49,0,0.57,3.44,55.66,0.57,0,1.15,0,0,1.15,0,0,0,0,0,13.2,0,1.72,0,0
 60-70,0,0,0,6.87,0,105.02,0,0.98,27.48,0,0,0,0,0,0,0,0.98,0,39.26,0,1.96,4.91,101.1,0,0.98,0,0,0,1.96,0,0,0.98,0,0,14.72,0.98,0.98,0,1.96
 72-82,0,0,0,0.98,0,23.56,0,1.96,20.61,0.98,0,0,0,0,0,0,0,0,30.43,0,0,7.85,31.41,0,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0.98,1.96
 84-94,0,0,0,3.19,1.06,14.87,0,0,8.5,1.06,0,0,0,0,0,0,0,0,19.12,0,0,4.25,12.74,0,2.12,0,0,1.06,2.12,0,0,0,0,0,2.12,1.06,1.06,1.06,0
 96-106,0,0,0,4.37,3.28,7.65,1.09,0,8.74,0,0,0,0,0,1.09,1.09,1.09,0,17.49,0,0,2.19,20.76,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0,2.19,2.19,1.09
108-118,0,0,0,3.06,0,9.19,0,0.77,7.66,0,0,0,1.53,0.77,0,0,1.53,0,23.74,0,0,6.89,31.4,0,0,1.53,0,0.77,1.53,0,0,0.77,0.77,0,1.53,0.77,2.3,0,0.77
120,0,0,0,9.8,0,7.84,0,1.96,13.72,0,0,0,5.88,0,1.96,0,0,0,11.76,0,0,0,39.2,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
