stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,2306.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,999.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,122.59,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,18.4,0,42.06,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,6.29,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,151.05,12.59,0,0,34.62,0,28.32,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,11,2,0,8,0,0,0,1,0,3,1,0,3,0,0,0,0,4,1,0,1,75,0,1,2,1,0,41,1,3,1,0,1,20,0,3,0,0
 24-34,0,0,0.82,0,13.95,0,0,26.27,0,2.46,0,9.03,0,0,0.82,1.64,13.95,0,2.46,0.82,0,13.13,4.93,0,5.75,352.15,0,6.57,5.75,0,0,248.72,0,0,0.82,0,0,64.03,0,8.21,0,0.82
 36-46,0,0,0,0,6.45,0,0,67.68,0,1.61,0,12.89,0,1.61,0,0.81,2.42,0,2.42,0,0,17.72,1.61,0,4.03,610.7,0.81,6.45,4.03,0,0,169.19,0,0,3.22,0,0,97.49,0,3.22,0,0
 48-58,0,0,0,0,4.59,0.57,0,122.22,0,1.15,1.15,25.25,0,1.15,0,2.3,1.72,1.72,1.15,0,1.15,20.66,6.31,1.15,4.02,525.03,1.15,2.87,2.3,0,0.57,138.86,0,0,1.15,0,0,82.05,0,6.89,0,0.57
 60-70,0,0,0.98,0,21.59,0,0,199.25,0,3.93,2.94,49.08,2.94,0.98,0.98,4.91,8.83,0.98,1.96,0,0,23.56,7.85,0.98,1.96,656.64,0,5.89,3.93,0,0,140.36,0,0,0,0,0,52.02,0,5.89,0.98,0
 72-82,0,0,2.94,0,25.52,0.98,0,219.89,0,2.94,0,41.23,7.85,0.98,2.94,1.96,6.87,0,7.85,0.98,2.94,53.99,8.83,1.96,0.98,622.37,0.98,9.82,8.83,0,0.98,131.54,0,0,1.96,0,0,28.47,2.94,4.91,1.96,0.98
 84-94,0,0,1.06,1.06,39.3,3.19,0,126.38,0,7.43,0,37.17,11.68,0,1.06,6.37,4.25,1.06,7.43,1.06,1.06,30.8,19.12,5.31,3.19,261.26,0,4.25,5.31,0,0,313.3,0,0,3.19,0,0,19.12,3.19,5.31,3.19,0
 96-106,0,0,2.19,0,61.2,2.19,0,91.8,0,5.46,1.09,31.69,3.28,0,4.37,5.46,20.76,0,5.46,1.09,1.09,17.49,6.56,2.19,3.28,195.62,0,6.56,4.37,0,2.19,185.78,0,0,1.09,1.09,0,8.74,2.19,4.37,2.19,1.09
108-118,0,0,0.77,0,42.13,3.83,0,84.26,0.77,7.66,2.3,20.68,6.89,0,1.53,9.19,6.13,2.3,0,2.3,0,16.85,8.43,1.53,1.53,209.87,0.77,6.13,6.13,0,0.77,147.83,0,0,4.6,0,0,4.6,4.6,5.36,0,2.3
120,1.96,0,0,0,39.2,3.92,1.96,86.23,0,13.72,3.92,29.4,5.88,0,0,19.6,11.76,0,1.96,1.96,0,21.56,7.84,3.92,7.84,337.08,0,0,1.96,0,1.96,152.86,0,0,1.96,0,0,7.84,1.96,5.88,0,1.96
