stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,12.59,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,34.62,0,9.44,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,8,0,0,4,0,0,0,3,0,4,0,0,2,0,0,0,0,1,0,0,0,46,0,2,2,0,0,11,0,2,1,2,10,0,0,0,0,0
 24-34,0,0,1.64,0,4.93,0.82,0,17.24,0,0,0,4.1,0,0.82,0,1.64,2.46,0.82,0,0,0,4.93,0,0,1.64,111.64,0.82,3.28,0.82,0,0,35.3,0,0.82,0,0,28.73,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,0,15.31,0,0.81,0,6.45,0,0,0,0,2.42,0.81,0.81,0,0,7.25,0,0,2.42,105.54,0,4.03,4.03,0,0,28.2,0,1.61,0,0,20.95,0,0.81,2.42,0.81,0
 48-58,0,0,0.57,0,2.3,0,0,39.59,1.15,0.57,0,12.05,1.15,0,0,1.15,0,0,0,0.57,1.15,8.03,1.15,0,1.72,51.07,0.57,2.3,1.72,0,0.57,28.12,0,0,0,0,14.92,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,122.69,0.98,1.96,0,22.58,0,0,0,3.93,2.94,0,0.98,0.98,0,16.69,3.93,1.96,1.96,80.48,2.94,0,3.93,0,0,61.84,0,0.98,0,0,13.74,0,0,0.98,0,0
 72-82,0,0,0,0,13.74,5.89,0,190.44,0,1.96,0.98,20.61,3.93,0,0.98,1.96,3.93,0,0.98,0,0.98,28.47,1.96,1.96,0,56.94,0,1.96,1.96,0,0.98,63.81,0,0,0,0,9.82,2.94,0.98,2.94,0.98,1.96
 84-94,0,0,0,0,15.93,4.25,0,131.69,0,2.12,2.12,22.3,1.06,1.06,1.06,10.62,5.31,0,2.12,2.12,1.06,15.93,3.19,3.19,1.06,35.05,1.06,6.37,8.5,0,1.06,182.67,0,4.25,0,0,6.37,3.19,1.06,3.19,3.19,1.06
 96-106,0,0,0,0,14.21,3.28,3.28,110.38,2.19,0,1.09,25.14,5.46,0,1.09,7.65,9.84,2.19,2.19,1.09,1.09,20.76,3.28,1.09,2.19,42.62,1.09,1.09,7.65,0,1.09,155.18,0,1.09,0,0,4.37,0,0,5.46,0,0
108-118,0,0,0,0,18.38,0.77,4.6,72,0,0,1.53,15.32,6.13,0,0,6.89,7.66,0,0,0.77,0,18.38,0.77,0,0,39.06,0,3.83,6.89,0,0,88.09,0,3.83,1.53,0,1.53,3.06,1.53,3.83,0.77,0
120,0,0,1.96,0,19.6,1.96,1.96,66.63,0,3.92,1.96,1.96,5.88,0,0,7.84,7.84,1.96,5.88,1.96,1.96,17.64,1.96,0,3.92,54.87,3.92,3.92,3.92,0,0,82.31,0,3.92,0,0,7.84,1.96,0,3.92,1.96,0
