stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,59.79,12.59,0,0,37.76,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,2,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,23,1,0,0,3,0,7,0,9,9,0,0,0
 24-34,0,0,0.82,0,4.1,0,2.46,4.1,0,2.46,0,0,0,0,0,0,0,6.57,0,0,2.46,59.92,2.46,0,0.82,0,0,0,0,0.82,15.6,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,2.42,0,0,0,0,0,1.61,0,11.28,0,0.81,4.83,136.96,0,0,0,0,0,0,0,0,26.59,0,0,0
 48-58,0,0,0,0,1.15,0,13.77,0.57,0,8.61,0,0,0,0,0,0.57,0,6.31,0,0,1.72,119.35,0.57,0,0.57,0,1.72,0,0,0,28.69,0,0,0
 60-70,0,0,0,0,1.96,0,23.56,0,1.96,22.58,0,0,0,0,0,0,0.98,11.78,0,0,0.98,226.73,0,0,0.98,0,5.89,0,0,0,28.46,0,0,0
 72-82,0,0,0.98,0,2.94,0,42.21,1.96,0,27.49,0,0,0,0.98,1.96,0,0,13.74,0.98,0,1.96,162.96,0.98,0.98,2.94,0,9.82,0,0,0,9.82,1.96,0.98,0
 84-94,0,0,0,0,2.12,0,37.17,0,0,18.05,0,0,1.06,0,0,0,0,19.12,0,1.06,3.19,73.28,1.06,1.06,3.19,0,27.61,0,0,0,9.56,0,0,0
 96-106,0,0,0,0,1.09,0,15.3,0,0,20.76,0,0,0,0,0,3.28,0,12.02,0,0,0,68.85,1.09,1.09,1.09,0,27.32,0,0,0,2.19,1.09,0,1.09
108-118,0,0,0,0,4.6,0,16.85,0.77,0,13.79,0.77,0,0,0,0,1.53,0,9.19,0,0,0,62.81,1.53,0,2.3,0,13.02,0,0,0,2.3,0.77,0.77,0.77
120,0,0,0,0,0,0,7.84,0,0,17.64,0,0,0,1.96,0,1.96,0,1.96,0,0,0,66.63,0,1.96,0,0,11.76,0,0,0,1.96,0,0,0
