stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,2.46,0.82,0,0,0,0,0,0,0,0.82,0,21.34,1.64,0,0,0.82,2.46,0,0,4.93,0,0
 36-46,0,0,0,0,4.03,0,0,5.64,0,0,0,0,0,3.22,0,36.26,1.61,0,0,0,0,0,0,16.11,0,0
 48-58,0,0,0,0,6.31,0,0.57,7.46,0,0,0,0.57,0,2.3,1.15,18.36,1.15,0,0,0,0,0.57,0,9.18,0,0
 60-70,0,0,0,0.98,8.83,0.98,0,4.91,0,0,0,0.98,0,0,0,19.63,0.98,0,0,0,0,0,0,11.78,0,0
 72-82,0,0,0.98,1.96,8.83,0,0,7.85,0,0,0,0,0.98,2.94,0,16.69,2.94,0,0,0,0.98,0,0,2.94,0,0
 84-94,0,1.06,1.06,0,2.12,0,0,8.5,0,0,1.06,0,0,1.06,0,14.87,0,1.06,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,0,0,5.46,0,1.09,1.09,0,0,0,1.09,9.84,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0.77,2.3,2.3,0,0,3.06,0.77,0,0,0,0,0,0,10.72,2.3,0,0,0,1.53,0,0,0.77,0,0
120,0,1.96,0,1.96,3.92,1.96,0,3.92,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,1.96,0
