stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,92.25,1897.62,0,0,0,0,0,0,0,0,0,131.78,0,0,0
  5-6,104.2,1152.37,0,0,0,0,0,0,49.04,6.13,12.26,24.52,0,0,0
  7-9,13.14,10.51,13.14,0,26.29,26.29,0,0,228.7,15.77,136.69,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,37.76,3.15,37.76,0,0,0,0
 14-21,0,0,0,1,2,0,1,3,2,0,0,0,2,1,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
