stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,65.72,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,28.32,0,0,0,0,0,0,0,132.17,12.59,0,0,18.88,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,53,1,0,1,0,0,0,1,0,1,23,2,0,6,0,0,0,22,0,0,149,0
 24-34,0,0,1.64,0,1.64,0,0.82,0,60.74,0,0,0,2.46,0.82,0,4.1,0.82,0.82,46.79,1.64,5.75,9.03,0,0,0,13.13,0.82,1.64,132.16,0
 36-46,0,0,0,0,0,0,0,0,35.45,0,0,0,0,0,0,4.83,2.42,0,40.28,0,4.03,3.22,0,0,0,4.03,0,0,84.6,0
 48-58,0,0,0,0,0.57,0,2.3,0.57,33.28,0.57,0,0,0,0,1.15,5.74,1.72,0.57,32.13,0,5.74,5.74,0,0,0,4.59,0,0,80.33,0
 60-70,0,0,0,0,0,0,0.98,0,20.61,0,0,0.98,0,0,3.93,1.96,0.98,1.96,23.56,0,2.94,10.8,0,0,0,1.96,0,0,41.22,0
 72-82,0,0,0,0,0,0.98,3.93,0,26.5,0,0.98,0,0,0,5.89,3.93,0.98,1.96,16.69,0,7.85,14.72,0,0,0,0,0,0,25.52,0.98
 84-94,0,0,0,0,0,1.06,4.25,0,18.05,1.06,1.06,0,0,0,3.19,2.12,0,0,9.56,1.06,3.19,16.99,0,0,0,4.25,0,0,18.05,0
 96-106,0,0,1.09,0,0,2.19,0,0,13.11,0,0,0,0,0,7.65,0,0,0,6.56,2.19,4.37,24.04,0,0,0,1.09,0,0,14.21,0
108-118,0,0,0,1.53,0.77,12.26,1.53,0,6.13,0.77,0,0,0,0,4.6,0.77,2.3,0,6.13,0,5.36,15.32,0,0,0.77,3.06,0.77,0,9.96,0
120,0,0,0,0,0,3.92,3.92,0,7.84,0,0,0,0,0,5.88,0,0,0,5.88,0,5.88,15.68,0,0,0,3.92,0,0,1.96,0
