stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,3.15,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,1,1,3,0,0,1,2,0
 24-34,0,1.64,0,0.82,0,0,0,0,0.82,0,0,2.46,0,0,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0.57,0,0.57,0.57,4.59,0,0,0,0,1.15
 60-70,0,0,0,4.91,0,0,0,0,0,3.93,0,4.91,0,0,0,0,1.96
 72-82,0,0,0,5.89,0.98,1.96,0,0,0,0.98,0,4.91,0,0,0,0,0
 84-94,0,0,0,1.06,0,5.31,0,0,0,2.12,0,2.12,0,0,0,0,0
 96-106,0,0,0,2.19,0,6.56,1.09,0,0,1.09,0,4.37,0,1.09,0,0,0
108-118,0,0,0,0,0,10.72,1.53,0,0.77,0.77,0,1.53,0,0,0,0,0
120,0,0,3.92,0,0,11.76,0,0,0,1.96,0,3.92,0,1.96,0,0,0
