stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,2.46,0,0,0,0,0,1.64,0,10.67,0,0,0,1.64,5.75,0,0
 36-46,0,0,3.22,0,0.81,0,0,0,0,0,23.36,0.81,0.81,0,0,9.67,0,0
 48-58,0,0.57,4.02,0,0,0,0,0,2.3,0.57,15.49,0,0,0,0,2.87,0,0
 60-70,0,0,12.76,0,0,0,0,0.98,0,0,11.78,0,0,0,0,0.98,0.98,0
 72-82,0,0.98,13.74,0,2.94,0,0,0.98,5.89,0,29.45,0,0.98,0,0,1.96,1.96,0.98
 84-94,0,0,4.25,0,0,1.06,0,0,3.19,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,5.46,0,1.09,0,0,0,0,0,6.56,0,0,0,0,0,1.09,0
108-118,0,0.77,4.6,0.77,0,0,0,0,0,0,3.83,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,9.8,0,0,0,0,0,1.96,0
