stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,144.96,2424.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,147.11,2592.84,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,42.91,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,21.03,26.29,52.57,0,0,70.98,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,704.5,23.66,0,0,260.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,37.76,0,3.15,34.62,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,516.1,18.88,0,0,173.08,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,13,0,3,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,6,68,1,2,5,0,0,2,9,0,0,7,26,0,0,1,0
 24-34,0,0,1.64,5.75,0,17.24,0,0,0.82,3.28,0,0,0,0,0,0,0,0.82,12.31,0,0,2.46,167.45,0,2.46,4.1,0,0,3.28,0,0,0,4.93,31.19,0,0,3.28,0.82
 36-46,0,0,0,2.42,0,21.75,0.81,0,0,2.42,0.81,0,0,0,0,0,0.81,0,11.28,0,0,2.42,74.93,1.61,0,1.61,0,0.81,1.61,0,0,0,0,12.09,0,0,0.81,0
 48-58,0,0,0,0,0,55.66,0,0,0.57,8.61,0,0,0.57,0.57,0,1.15,0,0,20.08,0,0.57,0.57,99.84,0,0.57,0,0,0,0.57,0,0,0.57,0,24.67,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,31.41,0,0,0.98,13.74,0.98,0,0,0,0,0,0,0,14.72,0,0,2.94,54.97,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,32.39,0,0,1.96,5.89,2.94,0,0,0,0.98,0.98,0,0,14.72,0.98,0.98,1.96,61.84,0,0.98,1.96,0,0.98,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,2.12,0,7.43,0,1.06,0,4.25,1.06,0,0,0,0,0,0,0,9.56,0,0,1.06,15.93,0,0,0,0,0,1.06,0,0,0,0,2.12,2.12,0,1.06,0
 96-106,0,0,0,2.19,0,8.74,0,0,0,2.19,2.19,0,0,0,0,1.09,0,0,5.46,0,0,1.09,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,6.89,0,0,0,4.6,0.77,0,0,0.77,0,0,0.77,0,8.43,0,0,0.77,13.79,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,11.76,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,5.88,0,0,0,17.64,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
