stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,4.1,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,5.16,0,0,0,0,0,7.46,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,41.22,0,0,0.98,0,0,0,0,0
 72-82,0,0,2.94,0.98,0.98,25.52,0,3.93,1.96,6.87,0,0,0,0,0.98,0,0,0,0.98,9.82,2.94,0,3.93,60.86,0,0,0,0,0.98,208.11,0,0,6.87,0.98,0,4.91,0.98,0.98
 84-94,0,1.06,5.31,2.12,0,11.68,0,11.68,1.06,0,1.06,0,0,1.06,10.62,0,0,0,0,6.37,7.43,0,1.06,19.12,0,0,3.19,0,0,572.44,0,0,0,0,0,0,0,1.06
 96-106,0,2.19,36.06,4.37,1.09,72.13,1.09,24.04,2.19,16.39,3.28,0,2.19,5.46,22.95,3.28,3.28,6.56,1.09,30.6,15.3,1.09,9.84,145.35,0,4.37,2.19,0,1.09,1314.69,1.09,1.09,2.19,2.19,1.09,6.56,3.28,1.09
108-118,0,0,25.28,2.3,0.77,18.38,0,30.64,1.53,6.13,3.06,0,0.77,2.3,22.98,1.53,0,1.53,0,13.02,19.92,0.77,2.3,52.85,0.77,0,1.53,0,0,1014.13,0,0,3.06,1.53,0,2.3,0.77,3.06
120,0,0,7.84,1.96,0,9.8,0,13.72,0,1.96,0,0,0,0,13.72,0,0,1.96,0,9.8,13.72,0,0,35.28,3.92,0,0,0,0,570.3,0,0,0,0,0,0,0,3.92
