stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.06,0.81,0,0,3.22,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,1.72,0,0,0,5.74,0,0,0,1.15,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,6.87,0,0,0,7.85,1.96,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,0,0.98,1.96,0.98,0.98,0,52.03,5.89,0.98,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,2.12,0,0,1.06,11.68,0,0,0,159.31,1.06,0,0,5.31,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,3.28,5.46,7.65,19.67,0,1.09,3.28,15.3,1.09,0,2.19,590.14,7.65,1.09,3.28,86.33,1.09,0,1.09,0,0,1.09,1.09,1.09,1.09,1.09,3.28,0
108-118,0,0.77,0,1.53,13.79,19.15,0.77,0,1.53,26.04,0.77,0,0,1050.14,6.89,0.77,0.77,49.79,0.77,0.77,0.77,0,0.77,3.83,0,0.77,0,0,0,0.77
120,0,0,3.92,1.96,5.88,5.88,0,0,5.88,33.32,1.96,0,1.96,623.21,11.76,0,0,33.32,0,0,0,0,0,1.96,0,0,0,0,1.96,0
