stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2437.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,2788.98,0,6.13,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,122.59,6.13,0,0,42.91,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,44.69,0,2.63,86.75,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,899.02,13.14,0,0,291.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,62.94,0,3.15,75.53,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,909.47,12.59,0,0,295.82,3.15,0,37.76,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,6,41,12,30,0,0,14,1,0,1,0,0,0,0,0,0,26,0,0,26,389,5,1,5,9,11,51,4,1,46,143,0,0,4,0,0
 24-34,0,0.82,0,0.82,6.57,0,43.51,0,0.82,10.67,0.82,0,1.64,0,0,0.82,0,0,0,36.94,1.64,0,17.24,357.07,0,2.46,3.28,0,9.85,0,0,0,0.82,68.13,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,36.26,0,0,6.45,0,0,0.81,0,0,0.81,0,0,0,20.14,0,0,4.83,122.46,0.81,2.42,1.61,0,8.86,0,0,0,0,21.75,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,111.89,0,1.72,26.4,0.57,0,0.57,0,0,0,0.57,1.15,0.57,64.84,0,2.3,11.48,156.07,0,1.15,2.87,0,4.59,0.57,1.15,0,0,34.43,0,0,2.3,0,0.57
 60-70,0,0,0,0,2.94,0,54.97,0.98,0.98,15.7,0.98,0,0,0,0,0,0,0,0,29.45,0,0.98,2.94,56.93,0,0.98,0.98,0,1.96,0,0.98,0,0,10.8,0,0,2.94,0.98,0
 72-82,0,0,0.98,0,4.91,0.98,52.03,0.98,1.96,22.58,0,0,0,0,0,0.98,0,0,0,53.99,0,1.96,6.87,86.39,0,0.98,0.98,0,7.85,0,0,0,0,4.91,0,0.98,2.94,0.98,0.98
 84-94,0,0,0,0,5.31,0,32.92,0,2.12,14.87,0,0,2.12,0,2.12,0,2.12,0,0,23.36,0,3.19,12.74,30.8,0,0,2.12,0,20.18,0,0,0,0,5.31,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,5.46,0,28.41,0,0,10.93,1.09,0,1.09,0,1.09,2.19,0,0,0,26.23,0,2.19,3.28,39.34,1.09,3.28,4.37,0,18.58,0,0,0,0,0,1.09,0,7.65,1.09,0
108-118,0,0,0,0,2.3,0,19.92,3.06,1.53,9.96,0,0,0,0.77,0.77,0,0,0.77,0.77,22.21,0,0,10.72,47.49,0.77,0,3.83,0,13.02,0,0,0,0,1.53,0,0.77,1.53,0.77,0
120,0,0,0,0,3.92,0,13.72,0,0,9.8,1.96,0,0,0,1.96,0,0,0,0,9.8,0,0,1.96,31.36,1.96,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
