stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,57.83,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,44.06,0,12.59,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,180.59,0,0,5.75,0,6.57,0,0.82,0,0,0,9.85,1.64,0,0,0.82,0,3.28,14.78,0,3.28,43.51,0,0.82,0,0,0,481.02,0,0,0.82,5.75,0,0,0.82,0,0.82
 36-46,0,0,0,0,373.83,1.61,0,8.86,0.81,56.4,0,3.22,0,0,0,8.86,4.83,0,0,0,0,6.45,16.11,0,4.03,62.84,0.81,2.42,0.81,0,0,903.16,0,0,0,13.7,0,0,7.25,0,2.42
 48-58,0,0,0,0,654.14,0.57,0,74.59,0.57,133.12,1.72,22.95,0.57,0.57,0.57,10.33,4.59,0,1.72,0.57,1.72,29.84,15.49,1.15,8.61,196.24,1.15,0,1.72,0,0.57,980.63,0,0,1.72,43.04,0,0,1.72,0,2.87
 60-70,0,0,0,0,779.33,1.96,0,162.93,0.98,176.67,1.96,25.52,0.98,1.96,0,5.89,8.83,0.98,1.96,2.94,0.98,65.76,23.56,3.93,1.96,308.2,0,0.98,2.94,0,0.98,1499.77,0,0,0.98,42.21,0,0,6.87,0.98,6.87
 72-82,0,0,0,0,823.61,18.65,0,205.17,0.98,195.35,12.76,55.95,5.89,0.98,2.94,15.71,36.32,4.91,5.89,2.94,1.96,135.47,40.25,2.94,25.52,463.34,6.87,3.93,7.85,0,1.96,1721.83,0.98,2.94,1.96,36.32,7.85,2.94,22.58,5.89,14.72
 84-94,0,0,2.12,0,1566.51,21.24,0,135.94,5.31,396.14,3.19,26.55,14.87,1.06,0,25.49,96.65,4.25,2.12,4.25,1.06,91.34,63.72,9.56,10.62,233.65,4.25,4.25,3.19,0,2.12,4855.64,0,5.31,2.12,16.99,6.37,3.19,9.56,8.5,7.43
 96-106,0,0,3.28,0,1996.63,72.13,7.65,251.35,3.28,434.95,10.93,103.82,26.23,0,4.37,34.97,137.7,6.56,15.3,29.51,2.19,184.69,108.19,13.11,18.58,543.14,3.28,10.93,21.86,0,1.09,4958.25,0,4.37,5.46,20.76,16.39,6.56,38.25,13.11,9.84
108-118,0,0,0,0,1877.38,25.28,9.19,129.45,2.3,564.51,7.66,43.66,10.72,0,3.06,25.28,140.94,3.83,5.36,15.32,0.77,127.92,104.94,4.6,18.38,346.22,2.3,9.19,3.06,0,2.3,4869.99,0,3.06,0.77,7.66,5.36,3.06,12.26,8.43,4.6
120,0,0,0,0,1573.71,27.44,7.84,111.71,1.96,407.64,5.88,27.44,13.72,0,1.96,35.28,60.75,1.96,5.88,3.92,0,68.59,70.55,5.88,17.64,325.32,7.84,1.96,7.84,0,0,2743.7,0,3.92,1.96,5.88,0,0,3.92,9.8,0
