stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0,2.46,0,0,0,0,0,0.82,0,0,0,1.64,0,0,1.64,91.94,0,6.57,0.82,0,0,0.82,0,0,0,13.95,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,12.09,0,0,0.81,2.42,0,0,0,0,0,0.81,0,0,5.64,29.81,0,0,6.45,402.03,0.81,4.03,0,0,0,0.81,0,1.61,0,45.92,0,0,0,0,2.42
 48-58,0,0,0,0,2.3,1.72,0,108.45,0,0.57,8.61,17.79,0,0,0.57,0.57,0,0.57,0,1.15,4.02,121.07,0,1.72,12.62,1218.19,1.15,9.18,0,0,0,0.57,0,1.15,0,115.91,0,0,1.15,0,1.72
 60-70,0,0,0,0,19.63,1.96,0,337.64,1.96,0.98,5.89,62.82,0.98,0,2.94,0.98,1.96,3.93,0,0,9.82,583.02,0.98,12.76,25.52,3251.78,1.96,6.87,6.87,0,1.96,2.94,0,1.96,0.98,268.94,0,10.8,9.82,2.94,3.93
 72-82,0,0,2.94,0,36.32,7.85,0,712.69,0.98,3.93,16.69,130.56,7.85,0,8.83,6.87,3.93,8.83,4.91,0.98,8.83,1115.17,1.96,46.14,38.28,3779.4,3.93,26.5,12.76,0,13.74,4.91,0.98,2.94,0,299.41,2.94,40.25,31.41,24.54,9.82
 84-94,0,0,3.19,0,56.29,6.37,2.12,540.58,2.12,6.37,10.62,99.83,7.43,0,8.5,6.37,5.31,8.5,2.12,1.06,20.18,767.85,1.06,42.48,26.55,1882.99,2.12,14.87,16.99,0,8.5,13.81,0,7.43,1.06,160.37,1.06,39.3,24.43,23.36,10.62
 96-106,0,0,4.37,0,65.57,7.65,2.19,392.33,3.28,3.28,10.93,120.21,13.11,0,15.3,15.3,4.37,8.74,6.56,5.46,13.11,747.51,1.09,37.16,31.69,1546.38,3.28,28.41,36.06,0,14.21,7.65,0,5.46,1.09,87.43,3.28,27.32,49.18,30.6,26.23
108-118,0,0,0.77,2.3,73.53,5.36,3.06,346.22,3.83,6.89,13.02,107.23,16.09,0,3.06,13.79,6.89,22.98,5.36,3.06,15.32,720.77,0.77,29.87,22.21,1839.08,9.19,18.38,32.17,0,15.32,4.6,0,7.66,2.3,51.32,3.83,13.79,40.6,22.98,22.98
120,1.96,0,7.84,3.92,92.11,11.76,1.96,411.55,7.84,13.72,23.52,180.3,19.6,0,1.96,35.28,1.96,17.64,19.6,1.96,7.84,825.07,3.92,27.44,23.52,2653.55,19.6,23.52,56.83,0,17.64,9.8,1.96,7.84,0,84.27,0,29.4,48.99,21.56,7.84
