stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,22.03,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,35,0,0,0,0,1,0,0,0,2,4
 24-34,0.82,0,0,0,0,0,0.82,30.37,0,0,0.82,2.46,0,0.82,0,1.64,0,1.64
 36-46,0,0,0,0,0,0,0,13.7,0,0.81,0.81,0.81,0,0,0.81,0.81,0,2.42
 48-58,0,0,0,0,0,0,0,4.02,0.57,0.57,0,1.72,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0.77,0,0,0,0,0,3.83,0,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
