stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,1.64,0,2.46,0.82,0,0,0,0
 36-46,0,0,0,2.42,0,0.81,0,0,0,0,2.42,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0.57,0.57,4.59,0,2.3,0,0,0.57,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,19.63,0,3.93,0.98,0,0,1.96,0
 72-82,0,0,0,11.78,0.98,0.98,0,0,0.98,0,40.25,0,14.72,0.98,0,0,0.98,0.98
 84-94,1.06,0,0,6.37,0,0,0,0,1.06,0,20.18,0,2.12,1.06,0,0,1.06,0
 96-106,1.09,0,1.09,5.46,1.09,0,1.09,1.09,3.28,0,24.04,0,10.93,0,0,1.09,0,0
108-118,0,0,0,3.83,0.77,0,0,0,0.77,0,20.68,0,5.36,0.77,0,0,0,0
120,0,1.96,0,15.68,0,0,0,0,5.88,1.96,41.16,0,11.76,3.92,0,0,0,0
