stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,65.89,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,104.2,1274.96,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,73.56,18.39,0,0,30.65,24.52,0,0,0,0,0,0,0
  7-9,18.4,7.89,0,23.66,0,0,21.03,0,0,0,0,18.4,0,0,0,0,0,0,0,320.7,7.89,0,0,115.66,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,9.44,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,119.58,3.15,0,0,62.94,0,3.15,3.15,3.15,0,0,0,0
 14-21,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,3,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,9.85,0,0,0,0.82,0,0,0,0,0,0,20.52,0,0,0,9.03,16.42,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,9.67,0,0,0,2.42,4.83,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,2.87,0,0,0,0.57,0,0,2.3,1.15,0.57,1.72,1.15,0.57,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,4.91,0,0.98,0,3.93,0.98,0,0,1.96,0,0,9.82,8.83,0,0.98,1.96,3.93,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,16.69,0,4.91,0.98,0.98,2.94,2.94,0,0.98,0.98,0,5.89,27.49,4.91,0,8.83,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,18.05,0,5.31,0,11.68,0,4.25,0,0,0,0,1.06,9.56,1.06,0,4.25,1.06,0,0,0,0,0,0,0,0,3.19,1.06,1.06
 96-106,0,0,0,0,33.88,1.09,2.19,0,2.19,0,3.28,0,1.09,1.09,0,2.19,10.93,3.28,0,7.65,0,0,0,0,1.09,0,0,0,0,6.56,0,0
108-118,0,0,0,0,16.09,0,0.77,0,10.72,0,0.77,0,0,0.77,0,3.06,15.32,0.77,0,5.36,0,0.77,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,21.56,0,0,0,0,0,1.96,0,0,0,1.96,0,5.88,3.92,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0
