stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,4.93,0,0,0,0,0,0,0,0,2.46,0,0,49.25,12.31,0,0,0,0,0,0.82,11.49,0,0,0,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,1.61,0,0,0,0,0,5.64,0,0.81,74.93,19.34,0,0,0,0,0,0,25.78,0,0,0,0,0
 48-58,0,0,0,0,0,0,8.03,0,0,2.87,0,0,0,0,0.57,3.44,0,0,76.89,9.18,0.57,0,1.15,0,0,0,16.07,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,42.21,0,0,13.74,0,0,0,0,0.98,3.93,0,0.98,194.34,10.8,0.98,0,0.98,0,0,0,17.67,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,93.26,0,0,20.61,0,0,0,0.98,0,12.76,0,0.98,245.42,33.38,0.98,0,0.98,0,0,0,16.69,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,78.59,0,0,9.56,5.31,2.12,0,0,0,11.68,1.06,2.12,147.62,19.12,1.06,0,0,0,0,0,8.5,0,1.06,0,1.06,1.06
 96-106,0,0,3.28,0,2.19,0,50.27,0,0,5.46,0,0,0,1.09,0,17.49,1.09,1.09,116.93,25.14,2.19,0,2.19,0,0,0,10.93,0,0,0,0,0
108-118,0,0,0.77,0.77,3.06,0,59.75,0.77,0.77,6.89,0.77,0,1.53,0,0,17.62,0,2.3,164.68,17.62,0.77,0.77,0.77,0,0,0.77,5.36,0.77,0,0.77,0.77,0.77
120,0,0,1.96,0,5.88,0,54.87,0,1.96,19.6,0,1.96,0,0,0,11.76,0,0,209.7,29.4,1.96,0,1.96,0,1.96,0,5.88,1.96,0,3.92,0,0
