stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,5.26,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,181.38,2.63,0,0,141.95,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,191.97,3.15,0,0,69.23,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,4,32,0,0,0,0,11,4,0,8,32,11,0,0,1
 24-34,0,0,0,1.64,0,1.64,0,0.82,0.82,0,0,0,0,1.64,0,0.82,14.78,0,0,0,0,12.31,0,0,0.82,0,4.93,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,3.22,0,3.22,4.83,0,0.81,0.81,0,4.83,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.72,1.15,1.15,1.15,0,0,0.57,0,3.44,0,4.02,2.87,0,0.57,0,0,0.57,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0,0,0,9.82,0,1.96,4.91,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,2.94,0,0,0.98,0,0.98,0,0,9.82,0.98,2.94,5.89,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,6.37,1.06,0,2.12,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,4.37,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,3.06,0,0,0,0,0,0.77,0.77,6.13,0,0.77,5.36,0,1.53,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
