stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,10.51,2.63,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0.82,0.82,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,0,1.15,0,0,5.16,0,0.57,1.72,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,4.91,0.98,0,1.96,0,0,7.85,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,9.82,0,0,3.93,0,0,18.65,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,9.56,0,0,3.19,0,0,32.92,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,1.09,0,1.09,9.84,0,0,2.19,0,0,33.88,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,6.13,0,0,1.53,0,0,23.74,0,0,0,0,0,0
120,0,0,0,0,1.96,0,9.8,0,0,1.96,0,0,17.64,0,0,0,0,0,0
