stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,6.29,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,213.99,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,329,7,0,1,1,0,1,3,0,0,0,2,0,0,21,1,7,0,0,5,22,0,0,0,1,0,71,3,1,0,1,3,0,0,7,0,0
 24-34,0,0,0,4.93,378.41,0.82,0,7.39,32.01,0,0,6.57,0,0.82,8.21,19.7,0,3.28,27.91,16.42,20.52,8.21,0.82,7.39,49.25,0,13.13,0.82,0,0,365.28,0,4.1,0,1.64,9.85,0,0,29.55,0,13.13
 36-46,0,0,0,0.81,220.75,0.81,0,6.45,47.53,0,1.61,8.86,0.81,2.42,27.39,12.89,0.81,9.67,7.25,56.4,14.5,8.06,0,4.03,32.23,0,15.31,0,0,0,388.33,0,4.83,0,0,8.06,0,0,13.7,0,24.17
 48-58,0,0,0,0,190.5,0,0,14.92,72.3,0,1.72,3.44,1.72,2.87,37.87,4.59,0.57,7.46,2.3,37.3,23.53,4.02,0.57,3.44,35.58,0,9.75,0,0,0,416.01,0,2.3,0.57,0,7.46,0,0,16.07,0,27.54
 60-70,0,0,0.98,0,318.01,0,0,14.72,110.91,1.96,1.96,27.48,5.89,1.96,44.17,9.82,0.98,4.91,1.96,35.33,10.8,8.83,0.98,0,40.24,0.98,15.7,0,0,1.96,432.85,0,4.91,0.98,0,1.96,1.96,0,5.89,0,29.45
 72-82,0,0,5.89,0.98,423.1,1.96,0,19.63,111.91,0.98,10.8,85.4,1.96,1.96,82.46,37.3,0.98,12.76,4.91,36.32,22.58,19.63,1.96,3.93,48.1,0,37.3,0,0,0.98,461.38,0,2.94,0,0,0.98,10.8,0,18.65,1.96,31.41
 84-94,1.06,0,6.37,0,528.89,2.12,0,13.81,165.68,2.12,1.06,101.96,2.12,0,84.96,42.48,4.25,9.56,4.25,29.74,9.56,11.68,5.31,2.12,19.12,0,22.3,1.06,0,0,852.82,0,5.31,0,0,1.06,28.68,1.06,22.3,0,16.99
 96-106,0,0,3.28,1.09,619.64,4.37,1.09,15.3,119.12,2.19,5.46,197.81,0,4.37,79.78,63.39,4.37,17.49,10.93,24.04,14.21,22.95,4.37,1.09,43.71,1.09,34.97,0,0,0,655.71,0,3.28,0,0,0,20.76,0,24.04,2.19,22.95
108-118,0,0,3.06,0,525.45,2.3,0,13.79,170.04,1.53,3.83,237.45,0,0,91.92,50.55,13.79,9.19,9.19,22.21,19.15,15.32,1.53,2.3,46.72,0,16.85,0,0,0,540,0,4.6,0,0,2.3,36.77,0.77,21.45,0.77,18.38
120,1.96,0,0,3.92,634.97,1.96,0,7.84,172.46,0,5.88,268.49,0,0,141.1,43.12,7.84,11.76,11.76,21.56,21.56,19.6,0,5.88,58.79,0,35.28,0,0,1.96,638.89,0,5.88,0,0,1.96,21.56,0,27.44,0,5.88
