stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,3,0,1,2,4,12,2,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,4.93,0.82,0.82,0,0.82,0,0,0,0,7.39,0,0,13.13,6.57,0,1.64,0,0,0,0.82,5.75,4.93,0,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,4.03,0,1.61,0,0,0,0.81,0,0,20.14,0,0,4.83,2.42,0,0.81,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0.57,0,0,5.16,0,5.16,0,2.3,0,0,0,0,0,0.57,34.43,0,0,4.59,2.3,0,2.3,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,1.96,1.96,3.93,0,0,0,0,0,0,84.41,0,0,8.83,5.89,0,0.98,0.98,0,0,0,0,1.96,0.98,0.98,0,0
 72-82,0,0.98,0.98,11.78,0,0,6.87,0.98,3.93,0.98,14.72,0.98,0,4.91,0,0,0,137.43,0.98,0,15.71,7.85,0,0.98,0,0,0,0,0,0.98,2.94,0.98,1.96,0
 84-94,0,0,0,10.62,0,0,12.74,0,10.62,1.06,11.68,0,1.06,2.12,0,0,0,101.96,0,1.06,11.68,5.31,1.06,3.19,1.06,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,27.32,1.09,0,8.74,0,2.19,3.28,6.56,0,0,0,1.09,0,0,95.08,0,0,7.65,6.56,0,4.37,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0.77,18.38,0,0,6.89,0,11.49,1.53,8.43,0,0,0,0,0.77,0,71.23,0,0,7.66,5.36,1.53,3.06,0.77,0,0,0,0,0.77,2.3,0,1.53,0.77
120,0,0,0,11.76,0,1.96,0,0,7.84,1.96,1.96,0,0,0,0,0,0,50.95,0,0,1.96,5.88,0,0,1.96,0,0,0,0,0,0,1.96,0,0
