stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0.82,0,0,0,0,0,0.82,0,2.46,4.93,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,1.61,0,0,0.81,0,0,4.03,0,0,0,1.61,0,0,0
 48-58,0,1.15,0,0.57,1.15,0,0,3.44,0,0,5.16,0,0.57,0,0,0,0,0
 60-70,0,7.85,0.98,2.94,3.93,0,0,4.91,0.98,0,6.87,0,1.96,0,0,0.98,0,0
 72-82,0,3.93,0.98,0,4.91,0,0,6.87,0,0.98,9.82,0,0,0,0,0,0,0
 84-94,0,3.19,1.06,1.06,0,0,0,3.19,0,0,3.19,1.06,1.06,0,0,0,0,0
 96-106,1.09,3.28,0,0,1.09,0,0,4.37,0,0,2.19,0,3.28,0,0,0,0,2.19
108-118,0,0,0,0,1.53,0.77,0.77,1.53,0,0,0.77,0.77,0.77,0,0.77,0,0,0
120,0,1.96,0,1.96,0,3.92,0,1.96,0,0,3.92,0,1.96,0,0,0,0,0
