stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.33,86.75,0,0,228.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,59.79,0,0,18.88,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,264.35,66.09,0,0,333.58,0,0,0,9.44,0,6.29,3.15,0,0,0,0,0
 14-21,1,0,0,19,110,15,9,0,2,0,23,22,1,0,0,0,0,0,1,40,0,39,163,52,0,1,53,0,0,363,1,36,350,281,0,0,0,0,0
 24-34,0,0,1.64,9.85,23.8,0.82,10.67,0.82,0,0.82,32.83,6.57,0,0,0,0,0,3.28,0.82,51.71,0,52.53,213.42,32.83,1.64,1.64,0,0,1.64,0,0,1.64,82.91,255.29,0,0,2.46,0,0
 36-46,0,0,0.81,0.81,12.09,0,8.86,1.61,0,2.42,23.36,0.81,0,0,0,0,0,1.61,0,44.31,0.81,17.72,299.71,12.89,3.22,0,0,0,0,0,0.81,0.81,0.81,149.05,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,5.16,0,26.97,1.15,0,2.87,48.77,0,0,0,0,0,0.57,1.15,0.57,32.13,1.72,9.75,251.33,2.87,0,1.15,0,0,0.57,0,1.15,0.57,0,95.25,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,175.69,2.94,0,1.96,92.26,0.98,0,0,0,0,0,0,0.98,21.59,1.96,2.94,380.83,0,0.98,2.94,0,1.96,0,0,0,0,0,57.91,0,0,0,0,0
 72-82,0,0,2.94,0,8.83,0,358.31,4.91,0,0,139.4,5.89,0.98,0,1.96,0.98,0.98,1.96,0,32.39,1.96,7.85,448.62,0,0.98,5.89,0,0,2.94,0,0,0,0,22.58,4.91,0.98,1.96,0.98,1.96
 84-94,0,0,0,0,11.68,1.06,261.26,8.5,0,1.06,86.03,5.31,0,1.06,0,0,2.12,4.25,0,30.8,3.19,9.56,245.33,1.06,0,9.56,0,0,2.12,0,2.12,0,0,19.12,11.68,2.12,0,1.06,0
 96-106,0,0,0,0,10.93,3.28,199.99,6.56,2.19,1.09,83.06,7.65,0,1.09,0,0,1.09,1.09,0,20.76,0,3.28,268.84,0,3.28,7.65,0,0,2.19,0,1.09,1.09,0,10.93,26.23,0,2.19,1.09,0
108-118,0,0,0.77,0,5.36,0.77,174.64,7.66,2.3,1.53,75.06,6.13,0,0.77,0.77,1.53,0,1.53,0.77,12.26,2.3,2.3,271.15,0,0.77,11.49,0,0.77,1.53,0,3.06,3.83,0,11.49,29.11,0,0.77,0.77,1.53
120,0,0,0,0,1.96,0,201.86,3.92,1.96,3.92,115.63,3.92,0,0,0,0,1.96,1.96,0,7.84,0,5.88,290.05,0,1.96,5.88,0,1.96,3.92,1.96,3.92,0,0,15.68,9.8,0,1.96,0,1.96
