stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,18.88,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,2,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,4,0,4,0,0,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,13.13,0,0.82,0,0,0,0,0,0,2.46,0,0,3.28,0,0,0,0,0
 36-46,0,3.22,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0,0,0,0.81,0,0,2.42,0,0,4.03,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,9.18,0,0,0,2.3,0,0,0,0,0,0.57,7.46,0,0,0,32.71,0,0.57,0,0,0,0.57,0,0,2.3,0.57,0,6.31,0,0,0.57,0,0.57
 60-70,0,0.98,0,0.98,0,0,41.22,0,0,0.98,11.78,0,0,0,0,0.98,0,6.87,0,0,4.91,66.74,0,0,0,0,0,3.93,0,0,3.93,0.98,0,13.74,0,1.96,0,0,1.96
 72-82,0,0,0,1.96,0.98,0,22.58,0,0,0,10.8,0.98,2.94,0,0.98,0,0,12.76,0,1.96,0,73.62,0,0,0.98,0,0,4.91,0,0,3.93,0,0,1.96,0,0.98,5.89,0,0.98
 84-94,0,0,0,0,0,0,15.93,0,0,0,9.56,1.06,0,0,1.06,0,0,8.5,0,1.06,3.19,35.05,0,0,1.06,0,0,10.62,0,0,0,0,0,0,0,1.06,3.19,2.12,2.12
 96-106,0,1.09,0,14.21,7.65,1.09,18.58,1.09,2.19,1.09,6.56,2.19,1.09,3.28,1.09,3.28,2.19,17.49,1.09,1.09,2.19,55.74,0,2.19,3.28,0,1.09,17.49,1.09,0,4.37,0,0,1.09,2.19,0,2.19,2.19,1.09
108-118,0,0.77,0,1.53,2.3,1.53,8.43,0,0,0.77,1.53,0,0,3.06,0,0,0,12.26,0,0.77,1.53,38.3,0.77,0,0,0,0.77,5.36,0,0,1.53,0,0,0,0,0.77,1.53,0,0.77
120,0,0,0,1.96,3.92,1.96,13.72,0,0,0,1.96,1.96,0,0,1.96,0,0,3.92,0,0,1.96,19.6,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0
